cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00029918,David Maker,D,AL,5, , ,DN,,,0,
2012,N00029919,Cheryl Baswell Guthrie,R,AL,5, , ,RN,,,0,
2012,N00029107,Mary Kim Titla,D,AZ,1, , ,DN,,,0,
2012,N00029817,Jeffrey G Brown,D,AZ,1, , ,DN,,,0,
2012,N00030232,Sandra B Livingstone,R,AZ,1, , ,RN,,,0,
2012,N00029644,Michael Francis Collins III,D,AZ,2, , ,DN,,,0,
2012,N00029840,Edwin Robert Winkler,R,AZ,3, , ,RN,,,0,
2012,N00029924,Lee Gentry,R,AZ,5, , ,RN,,,0,
2012,N00029204,Richard Grayson,3,AZ,4,Y,Y,3L,,,0,
2012,N00029647,Scott Bergren,R,AZ,6, , ,RN,,,0,
2012,N00029926,Rebecca Schneider,D,AZ,6, , ,DN,,,0,
2012,N00029927,Harley Dean Meyer,I,AZ,7, , ,3N,,,0,
2012,N00030170,Derek Tidball,I,AZ,8, , ,3N,,,0,
2012,N00029064,Chip Fraser,D,CA,24, , ,DN,,,0,
2012,N00029929,John Jacobson,D,CA,2, , ,DN,,,0,
2012,N00029930,Donald Kurth,R,CA,0, , ,RN,,,0,
2012,N00030323,Justin Lee Rosenberger,I,CA,23, , ,3N,,,0,
2012,N00030403,Megan Nichole Van Why,3,CA,0, , ,3N,,,0,
2012,N00029842,Virginia Fuller,R,CA,11,Y,Y,RL,250.0,,250,
2012,N00029934,Carol Wolman,3,CA,1, , ,3N,,,0,
2012,N00029466,David Crowley,R,CA,33, , ,RN,518.0,,518,
2012,N00029251,Paul Smith,R,CA,5, , ,RN,,,0,
2012,N00030171,Cindy Sheehan,I,CA,8, , ,3N,,,0,
2012,N00029951,Navraj Singh,R,CA,30, ,Y,3L,,,0,
2012,N00029121,John Kanaley,R,CA,37, , ,RN,,,0,
2012,N00029652,Rita Ramirez-Dean,D,CA,31, ,Y,DL,,,0,
2012,N00029468,Michael Williamson,D,CA,42,Y,Y,DL,,,0,
2012,N00029623,David E Hunsicker,D,CA,45, , ,DN,,,0,
2012,N00029961,Ronald St John,R,CA,46, , ,RN,,,0,
2012,N00029066,Dina Louise Biedermann,R,CA,47, , ,RN,,,0,
2012,N00029264,Steve Schechter,D,CA,50, , ,DN,,,0,
