,cycle,id,candidate_name,party,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
64,2012,N00031623,Chip Cravaack (R),R,MN08,Y,Y,RL,1039956.0,959069.0,2505483,506458.0
65,2012,N00029162,Kirk Schuring (R),R,OH16, , ,RN,,,0,0.0
66,2012,N00018125,George Harper (R),R,TX14, ,Y,RL,1000.0,35102.0,36102,0.0
67,2012,N00033646,William Mayo Yarbrough (R),R,OH12, ,Y,RL,,9860.0,14710,4850.0
68,2012,N00027649,Tim Huelskamp (R),R,KS01,Y,Y,RW,433503.0,320583.0,824826,70740.0
69,2012,N00034513,Daniel Botelho (I),I,MA09,Y,Y,3L,,2260.0,3535,1275.0
70,2012,N00029224,Steve Greenberg (R),R,IL08, , ,RN,,,0,0.0
71,2012,N00033516,Joe Kaufman (R),R,FL23, ,Y,RL,9500.0,131060.0,560974,420414.0
72,2012,N00033223,Dan Lewis (R),R,NM01, ,Y,RN,,159900.0,166482,6582.0
73,2000,N00005012,Steven G Bailey (D),D,MO01, ,Y,DL,,,0,
74,2012,N00034313,Clifford J. Smith (D),D,CA42, ,Y,DL,,30471.0,30621,150.0
75,2012,N00031621,Shelley Madore (D),D,MN02, , ,DN,,4432.0,4472,40.0
76,2012,N00033750,Duchy Trachtenberg (D),D,MD06, ,Y,DN,,43000.0,43000,0.0
77,2012,N00031463,Larry Andre (R),R,CA39, , ,RN,,1524.0,1939,415.0
78,2012,N00012611,Mike Honda (D),D,CA17,Y,Y,DW,340312.0,483416.0,884199,60471.0
79,2012,N00034412,Bruce Peller (D),D,NC05, ,Y,DL,,43054.0,43054,0.0
80,2012,N00030593,Marta Ann Jorgensen (D),D,CA24, , ,DN,,,0,0.0
81,2012,N00031887,David Rivera (R),R,FL26,Y,Y,RL,161673.0,429750.0,606074,14651.0
82,2012,N00033917,David Cantu (D),D,TX15, ,Y,DL,,5450.0,-350,-5800.0
83,2012,N00030737,Stephen J. Bacon (3),3,FL07, , ,3N,,,0,0.0
84,2012,N00001629,Pat Sellers (R),R,PA06, , ,RN,,,0,0.0
85,2012,N00033288,Dave Wallace (R),R,MD08, ,Y,RL,,10750.0,16958,6208.0
86,2012,N00031758,Ralph Bernard Reeves III (R),R,NC13, , ,RN,,1295.0,1295,0.0
87,2012,N00028030,Rosie Avila (R),R,CA47, , ,RN,150.0,,150,0.0
88,2012,N00034315,Bob Crowder (R),R,FL18, ,Y,RL,,65875.0,88141,22266.0
89,1996,N00008566,Leo Hudetz (D),D,MT01, ,Y,DL,3250.0,15860.0,44237,25127.0
90,2012,N00031338,Dee Adcock (R),R,PA13, , ,RN,,,0,0.0
91,2012,N00035081,Ignacia T. DeMapan (R),R,MP00, , ,RL,,3550.0,7930,4380.0
92,2000,N00005143,Elizabeth Ann Dulaney (3),3,MO05, , ,3N,,,0,
93,2012,N00035081,Ignacia T. DeMapan (R),R,MP00,Y,Y,RL,,3550.0,7930,4380.0
94,2012,N00034148,Patrick Shearer (D),D,TX35, ,Y,DN,,9750.0,11670,1920.0
95,2012,N00030069,Delia Lopez (R),R,OR03, ,Y,RL,,,0,0.0
96,2012,N00034495,Bill Bloomfield (I),I,CA33,Y,Y,3L,,7948685.0,7961894,13209.0
97,2012,N00033395,Dan Kildee (D),D,MI05,Y,Y,DW,327957.0,372392.0,700349,0.0
98,2012,N00030336,Sheldon Schafer (3),3,IL18, , ,3N,,,0,0.0
99,2000,N00005157,Gary Nodler (R),R,MO07, , ,RN,,,0,
100,2012,N00027944,Pat Baig (R),R,TX22, , ,RN,,,0,0.0
101,2012,N00033470,Jeff Hunt (R),R,NC11, ,Y,RL,,127859.0,143750,15891.0
102,2012,N00034152,Jacqueline Smith (R),R,UT01, ,Y,RN,,8428.0,14532,6104.0
103,2012,N00034042,Bill Shein (D),D,MA01, ,Y,DL,,-183.0,23245,23428.0
104,2012,N00033266,Michael J. Williams (D),D,CT05, ,Y,DN,,78510.0,90265,11755.0
105,2012,N00033910,James Lawrence Mader (R),R,SC07, ,Y,RL,,2570.0,2947,377.0
106,2012,N00032115,Jesse L. Young (R),R,WA06, ,Y,RL,,39247.0,60045,20798.0
107,2012,N00025382,Jim Greenfield (R),R,OR01, ,Y,RL,,2300.0,2900,600.0
108,2012,N00034000,Jay Chen (D),D,CA39,Y,Y,DL,319082.0,489149.0,904339,96108.0
109,2012,N00031851,Steve Bryles (D),D,AR01, , ,DN,,,0,0.0
110,2000,N00005089,Thad Bullock (D),D,MO08, , ,DN,,,0,
111,2012,N00031681,David McKinley (R),R,WV01,Y,Y,RW,929989.0,1153964.0,2175718,91765.0
112,2012,N00029931,Douglas Alan Pharr (R),R,CA01, , ,RN,,,0,0.0
