cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00030795,Rick Wilson,R,MI,,SEN, ,RC, ,1000.0,250.0,1250,0.0
2000,N00005089,Thad Bullock,D,MO,MO-08,CON, ,DN, ,,,0,
2012,N00032821,Chet D. Traylor,R,LA,,SEN, ,RN, ,,,0,0.0
2012,N00031681,David McKinley,R,WV,WV-01,CON,Y,RW, ,929989.0,1153964.0,2175718,91765.0
2012,N00029931,Douglas Alan Pharr,R,CA,CA-01,CON, ,RN, ,,,0,0.0
2012,N00033803,Jonathan Michael Snow,D,FL,FL-12,CON,Y,DL, ,5000.0,3850.0,16206,7356.0
2012,N00034250,Paula Aboud,D,AZ,AZ-02,CON,Y,DN, ,,3750.0,11734,7984.0
2012,N00024857,John Courage,D,TX,TX-21,CON, ,DN, ,500.0,,500,0.0
2012,N00033224,Chuck Williams,R,UT,UT-02,CON,Y,RN, ,,20526.0,25940,5414.0
2012,N00032819,Jack Rooney,I,IN,,SEN,Y,3L, ,,6000.0,6000,0.0
2012,N00033450,Dean Young,R,AL,AL-01,CON,Y,RL, ,,39750.0,44722,4972.0
2012,N00025391,Timothy L Carden,D,NJ,NJ-07,CON, ,DN, ,,,0,0.0
2012,N00034342,Hayden Rogers,D,NC,NC-11,CON,Y,DL, ,262868.0,445138.0,761475,53469.0
2012,N00011971,Dan Lungren,R,CA,CA-07,CON,Y,RI, ,1483344.0,1153091.0,2772273,135838.0
2012,N00031667,Clayton Trotter,R,TX,TX-20,CON, ,RN, ,,,0,0.0
2012,N00033916,David Alameel,D,TX,TX-33,CON,Y,DL, ,2600.0,3125.0,5885,160.0
2012,N00027749,Chuck Ahner,R,KS,KS-03,CON, ,RN, ,,,0,0.0
2012,N00034570,Manuel Valdez,D,TX,TX-33,CON,Y,DL, ,,5450.0,5650,200.0
2012,N00031696,Mike Lee,R,UT,,SEN, ,RI, ,142499.0,273620.0,454286,38167.0
2012,N00002743,Allen Boyd,D,FL,FL-02,CON, ,DN, ,3000.0,,3000,0.0
2012,N00007556,John T. Doolittle,R,CA,CA-04,CON, ,RN, ,,,0,0.0
2000,N00003896,Jonathan Weinzapfel,D,IN,IN-08,CON, ,DN, ,,,0,0.0
2012,N00029137,Jay K Footlik,D,IL,IL-10,CON, ,DN, ,,,0,0.0
2012,N00034140,Jane Cross,D,TX,TX-15,CON,Y,DL, ,4500.0,3250.0,8895,1145.0
2012,N00034013,Darren Ayres,R,FL,FL-13,CON,Y,RL, ,1000.0,38636.0,43634,3998.0
2012,N00027609,Tramm Hudson,R,FL,FL-13,CON, ,RN, ,,,0,0.0
2012,N00033747,Chris Miller,D,IL,IL-12,CON,Y,DL, ,,31570.0,37506,5936.0
2012,N00025095,John Carter,R,TX,TX-31,CON,Y,RW, ,434106.0,445646.0,888792,9040.0
2012,N00033263,Stanley Garza,D,TX,,SEN,Y,DN, ,,,0,0.0
2012,N00033241,Don Bates Jr,R,IN,IN-06,CON,Y,RL, ,,169739.0,185680,15941.0
2012,N00034695,Sean Seibert,R,TX,TX-18,CON,Y,RL, ,1000.0,19946.0,35744,14798.0
2012,N00032468,Gregory Adam Bartosz,R,MD,MD-03,CON, ,RN, ,,-350.0,-350,0.0
2012,N00031992,John Aslanian,R,NJ,NJ-09,CON, ,RN, ,,450.0,450,0.0
2012,N00035215,Robin Kelly,D,IL,IL-02,CON, ,DN, ,,157912.0,186398,28486.0
2012,N00033462,Jim Hickey,D,IL,IL-11,CON,Y,DL, ,,6350.0,9855,3505.0
2012,N00002713,Corrine Brown,D,FL,FL-05,CON,Y,DW, ,330570.0,246117.0,593520,16833.0
2012,N00007690,Greg Walden,R,OR,OR-02,CON,Y,RW, ,1689180.0,974099.0,2809091,145812.0
2012,N00030946,Michael A. Allegretti,R,NY,NY-13,CON, ,RN, ,,,0,0.0
2012,N00030766,Robert Allen Taylor,3,WI,,SEN, ,3N, ,,,0,0.0
2012,N00034356,F. Jay Seegmiller,D,UT,UT-02,CON,Y,DL, ,72936.0,32050.0,119750,14764.0
2012,N00031845,Taze Shepard,D,AL,AL-05,CON, ,DN, ,,,0,0.0
2012,N00034119,Melissa Eaton,D,PA,PA-03,CON,Y,DL, ,74430.0,110459.0,257793,72904.0
2012,N00033426,Andrew Hughes,D,WA,WA-07,CON,Y,DL, ,,192374.0,208565,16191.0
2012,N00034312,Susan Shelley,R,CA,CA-30,CON,Y,RL, ,,2221.0,5619,3398.0
2012,N00032530,Julie Lassa,D,WI,WI-07,CON, ,DN, ,-2000.0,,-2000,0.0
2012,N00034683,Harold Whitfield,D,MO,MO-02,CON,Y,DL, ,6000.0,5750.0,17560,5810.0
2012,N00034347,Mark Swomley,R,PA,PA-04,CON,Y,RL, ,,39438.0,45309,5871.0
2012,N00026339,Rick Murphy,R,AZ,AZ-04,CON,Y,RL, ,,2900.0,2900,0.0
2012,N00034073,Danny Bedwell,L,MS,MS-01,CON,Y,3C, ,,2000.0,3571,1571.0
2012,N00026271,Steve Novick,D,OR,,SEN, ,DN, ,,,0,0.0
2000,N00005095,John Hendricks,L,MO,MO-08,CON,Y,3L, ,,,0,
2012,N00026271,Steve Novick,D,OR,,SEN, ,DN, ,,,0,0.0
2012,N00031459,Summer Shields,D,CA,CA-12,CON,Y,DL, ,5500.0,5140.0,39459,28819.0
2000,N00005167,Kenneth Bentley Jacob,D,MO,MO-09,CON, ,DN, ,,,0,
2000,N00004099,Brian D Ellison,3,MI,MI-05,CON,Y,3L, ,,,0,
2012,N00034516,Jon Courtney,R,ME,ME-01,CON,Y,RL, ,17300.0,70319.0,124122,36503.0
2012,N00014314,Gary Richard Arnold,R,CA,CA-17,CON, ,RN, ,,,0,0.0
