cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2014,N00036077,John Devine,D,MA,MA-06,CON,Y,DL, ,,,0,0.0
2014,N00036589,Martin McClendon,R,WA,WA-06,CON,Y,RL, ,236.0,19989.0,24111,3886.0
2014,N00035577,Jay Alan Bonner,R,FL,FL-20,CON,Y,RL, ,,26612.0,29607,2995.0
2010,N00031544,Doug Purl,D,TX,TX-15,CON,Y,DL, ,,7445.0,7600,155.0
2014,N00007727,Earl Blumenauer,D,OR,OR-03,CON,Y,DW, ,822269.0,352028.0,1232308,58011.0
2010,N00030863,Robert Paul Lowry,R,FL,FL-20,CON,Y,RL, ,,44336.0,62615,18279.0
2010,N00028859,Larry Kissell,D,NC,NC-08,CON,Y,DW, ,927631.0,429888.0,1408476,50957.0
2010,N00009829,Jim McDermott,D,WA,WA-07,CON,Y,DW, ,266826.0,183148.0,574434,124460.0
2010,N00030510,Adam Lang,R,PA,PA-02,CON, ,RN, ,,,0,0.0
2014,N00030081,Katherine Jenerette,R,SC,SC-07,CON, ,RN, ,,,0,0.0
2010,N00032391,Ken Glasson,R,SC,SC-01,CON,Y,RL, ,,13025.0,17077,4052.0
2014,N00034077,Ron Vincent,R,MS,MS-04,CON,Y,RL, ,290.0,2263.0,3554,1001.0
2014,N00033248,Brendan P. Doherty,R,RI,RI-01,CON, ,RN, ,1178.0,,1178,0.0
2010,N00028361,Mark W. Ellmore,R,VA,VA-08,CON,Y,RN, ,,3900.0,4600,700.0
2014,N00033079,Bob Massie,D,MA,,SEN, ,DN, ,,,0,0.0
2014,N00035495,Sheila Oliver,D,NJ,,SEN,Y,DL, ,500.0,28450.0,28950,0.0
2014,N00034046,Christopher Sheldon,R,MA,MA-09,CON, ,RN, ,,,0,0.0
2010,N00032027,Jessica Depriest Sandlin,R,VA,VA-02,CON,Y,RL, ,,12681.0,16923,4242.0
2014,N00034574,Keith Swank,R,WA,WA-08,CON, ,RN, ,,,0,0.0
2014,N00026106,Debbie Wasserman Schultz,D,FL,FL-23,CON,Y,DW, ,29260.0,1293488.0,2543524,1220776.0
2010,N00032280,Pat Miles,D,MI,MI-03,CON,Y,DL, ,68778.0,471398.0,634912,94736.0
2010,N00025226,James L Hart,R,TN,TN-08,CON,Y,RN, ,,10297.0,10485,188.0
2010,N00029574,Steve Stivers,R,OH,OH-15,CON,Y,RW, ,1261239.0,1420092.0,2829224,147893.0
2010,N00029366,Pat Meagher,D,CA,CA-41,CON,Y,DL, ,8434.0,13630.0,37122,15058.0
2014,N00008957,Bob Smith,R,NH,,SEN,Y,RL, ,48585.0,187438.0,560329,324306.0
2010,N00029055,Basil Mossaidis,D,VA,VA-06,CON, ,DN, ,,,100,100.0
2014,N00036004,Tom Sanchez,D,TX,TX-33,CON,Y,DL, ,7000.0,1232000.0,1239100,100.0
2014,N00036107,Norma Torres,D,CA,CA-35,CON,Y,DW, ,309273.0,159185.0,476700,8242.0
2010,N00031312,Enrique Raul Torres,R,CT,CT-04,CON,Y,RL, ,,44550.0,57152,12602.0
2014,N00035687,Stace Nelson,R,SD,,SEN,Y,RL, ,,80880.0,136236,55356.0
2014,N00035787,Maxey Scherr,D,TX,,SEN,Y,DL, ,44073.0,143423.0,206291,18795.0
2010,N00001371,William J. Coyne,D,PA,PA-14,CON, ,DN, ,,,0,0.0
2014,N00031917,Phillip J. Steffen,R,IN,IN-04,CON, ,RN, ,,,0,0.0
2014,N00001024,Nita M. Lowey,D,NY,NY-17,CON,Y,DW, ,484756.0,1604279.0,2159927,70892.0
2010,N00030787,Mike Evans,R,GA,GA-09,CON,Y,RN, ,500.0,175461.0,200625,24664.0
2014,N00035311,Mark Walker,R,NC,NC-06,CON,Y,RW, ,187098.0,480564.0,742467,74805.0
2014,N00033402,John Ewing,D,NE,NE-02,CON, ,DN, ,5000.0,,5000,0.0
2014,N00027607,Zane Rene Lawhorn,I,WV,,SEN,Y,3L, ,,13605.0,13605,0.0
2014,N00035587,Eric Thorsland,D,IL,IL-15,CON,Y,DL, ,,3850.0,10422,6572.0
2014,N00036030,Kelly Westlund,D,WI,WI-07,CON,Y,DL, ,48109.0,257964.0,515690,209617.0
2014,N00027644,Bill Sali,R,ID,ID-01,CON, ,RN, ,,,0,0.0
2014,N00031869,Erik Smitt,R,CA,CA-06,CON, ,RN, ,,,0,0.0
2010,N00025299,Tim Bridgewater,R,UT,,SEN,Y,RL, ,199715.0,226012.0,463106,37379.0
2010,N00025299,Tim Bridgewater,R,UT,,SEN, ,RL, ,199715.0,226012.0,463106,37379.0
2010,N00027526,Jean Schmidt,R,OH,OH-02,CON,Y,RW, ,321260.0,621179.0,1017974,75535.0
2010,N00001408,John P. Murtha,D,PA,PA-12,CON,Y,DI, ,257390.0,450550.0,715275,7335.0
2014,N00035244,Curtis Bostic,R,SC,SC-01,CON,Y,RL, ,18862.0,115184.0,157764,23718.0
2014,N00034856,Jaime McMillan,R,CO,,SEN, ,RC, ,,750.0,750,0.0
2014,N00034856,Jaime McMillan,R,CO,,SEN,Y,RN, ,,750.0,750,0.0
2010,N00029312,Timothy Bee,R,AZ,AZ-08,CON, ,RN, ,2672.0,,2672,0.0
2014,N00036108,Peter O. Anderson,D,CA,CA-39,CON,Y,DL, ,2500.0,,3679,1179.0
2014,N00034628,Patrick Ganey,D,MN,MN-02,CON, ,DN, ,,,0,0.0
2014,N00031951,Angela McGlowan,R,MS,MS-01,CON, ,RN, ,,5530.0,5530,0.0
2010,N00031113,Robert David Parker,R,MO,MO-08,CON,Y,RL, ,,17675.0,28231,10556.0
2014,N00036503,Lily Gilani,R,CA,CA-33,CON,Y,RL, ,,17600.0,19386,1786.0
2010,N00027978,Mike O Callaghan,D,WV,WV-02,CON, ,DN, ,,2000.0,2000,0.0
2010,N00002836,Ben Graber,D,FL,FL-19,CON,Y,DL, ,4500.0,32900.0,54204,16804.0
2014,N00024862,Geoff Davis,R,KY,KY-04,CON, ,RN, ,,,0,0.0
2014,N00033822,Fred Kundrata,D,OH,OH-01,CON, ,DC, ,14900.0,53731.0,78007,9376.0
2014,N00033822,Fred Kundrata,D,OH,OH-01,CON,Y,DL, ,14900.0,53731.0,78007,9376.0
2014,N00033822,Fred Kundrata,D,OH,OH-01,CON, ,DC, ,14900.0,53731.0,78007,9376.0
2010,N00028133,Douglas L. Lamborn,R,CO,CO-05,CON,Y,RW, ,228887.0,92282.0,342405,21236.0
2014,N00030185,Richard A Baker Jr,R,MA,MA-06,CON, ,RN, ,,,0,0.0
2014,N00025139,James E Snyder Jr,R,NC,,SEN,Y,RL, ,,,0,0.0
2014,N00025139,James E Snyder Jr,R,NC,,SEN, ,RC, ,,,0,0.0
2010,N00030562,Josue Larose,I,FL,FL-19,CON, ,3L, ,,,0,0.0
2014,N00030875,Ann Mclane Kuster,D,NH,NH-02,CON,Y,DW, ,1155710.0,2539869.0,4176833,481254.0
2014,N00030983,Eric William Deaton,I,OH,,SEN, ,3N, ,,,0,0.0
2010,N00032132,Raphael Herman,D,FL,,SEN,Y,DN, ,,156018.0,156018,0.0
2010,N00032132,Raphael Herman,D,FL,,SEN, ,DN, ,,156018.0,156018,0.0
2010,N00032260,Brian Schad,I,ID,ID-02,CON,Y,3L, ,,1000.0,1025,25.0
2014,N00031781,Lawrence C. Kobrovsky,R,SC,SC-01,CON, ,RN, ,,,0,0.0
2014,N00028990,Ron Francis,R,PA,PA-04,CON, ,RN, ,,,0,0.0
2010,N00032598,Wes Sonner,R,NH,NH-02,CON,Y,RL, ,,3843.0,6248,2405.0
2010,N00031700,Curtis Lee Harris,L,CO,CO-02,CON,Y,3L, ,10.0,7261.0,8334,1063.0
2014,N00036509,R. Adam King,R,CA,CA-37,CON,Y,RL, ,,13500.0,14585,1085.0
2014,N00000743,Scott Garrett,R,NJ,NJ-05,CON,Y,RW, ,943187.0,924823.0,2027278,159268.0
2014,N00005883,Kevin Brady,R,TX,TX-08,CON,Y,RW, ,1739461.0,961450.0,2707823,6912.0
2014,N00034407,John Howard III,R,MN,MN-03,CON, ,RN, ,,,0,0.0
2010,N00027894,James D. Jordan,R,OH,OH-04,CON,Y,RW, ,417998.0,362940.0,845312,64374.0
2014,N00030969,"Andrea F. Nuciforo, Jr",D,MA,MA-01,CON, ,DN, ,,-1136.0,-1136,0.0
2010,N00032230,Dean A. Black,R,FL,FL-03,CON,Y,RL, ,,49589.0,60312,10723.0
2014,N00025882,Ed Case,D,HI,,SEN, ,DN, ,,,0,0.0
2010,N00031128,Bob Gibbs,R,OH,OH-18,CON,Y,RW, ,401350.0,633569.0,1137780,102861.0
2010,N00002610,Nathan Deal,R,GA,GA-09,CON, ,RI, ,75123.0,1250.0,76373,0.0
2010,N00031970,Billy Yow,R,NC,NC-06,CON,Y,RL, ,,56861.0,62731,5870.0
2010,N00032117,Kenneth Joseph Lipinski,R,WI,WI-04,CON,Y,RL, ,,3087.0,4635,1548.0
2014,N00028663,Neeraj C Nigam,I,VA,VA-10,CON, ,3N, ,,,0,0.0
2010,N00029629,Steve Hudson,R,MD,MD-08,CON, ,RN, ,,,0,0.0
2010,N00030706,Jack McDonald,D,TX,TX-10,CON,Y,DN, ,13996.0,201914.0,237014,21104.0
2010,N00030957,Scott Eugene Desjarlais,R,TN,TN-04,CON,Y,RW, ,486355.0,652716.0,1213019,73948.0
2010,N00032600,Susan Kone,R,NY,NY-08,CON,Y,RL, ,1500.0,31409.0,37759,4850.0
2014,N00035724,Donna Mercado Kim,D,HI,HI-01,CON,Y,DL, ,111571.0,617472.0,772639,43596.0
2014,N00033905,Priscilla Tyson,D,OH,OH-03,CON, ,DN, ,,,0,0.0
2014,N00034817,Gregory Joiner,I,TN,TN-09,CON,Y,3L, ,537.0,10.0,547,0.0
2010,N00031227,Larry D. Bucshon,R,IN,IN-08,CON,Y,RW, ,611591.0,483128.0,1170102,75383.0
2010,N00030689,Tex Christopher,R,TX,TX-18,CON,Y,RL, ,250.0,7954.0,12194,3990.0
2010,N00030724,Betty Chu,R,CA,CA-32,CON,Y,RL, ,100.0,15250.0,17864,2514.0
2010,N00029837,Craig D Schmidtke,3,AL,AL-02,CON, ,3N, ,,24600.0,24600,0.0
2010,N00031973,Jeff Phillips,R,NC,NC-06,CON,Y,RL, ,,5616.0,8567,2951.0
2014,N00006692,Barbara Boxer,D,CA,,SEN, ,DI, ,101900.0,265903.0,401534,33731.0
2010,N00004671,David McSweeney,R,IL,IL-08,CON, ,RN, ,2000.0,15427.0,17827,400.0
2014,N00008122,Eddie Bernice Johnson,D,TX,TX-30,CON,Y,DW, ,438462.0,153472.0,599075,7141.0
2014,N00036302,Josh Brannon,D,NC,NC-05,CON,Y,DL, ,,3750.0,7831,4081.0
2014,N00032322,Anna Little,R,NJ,NJ-06,CON, ,RN, ,,3625.0,38756,35131.0
2014,N00033827,Rick Daugherty,D,PA,PA-15,CON, ,DN, ,,200.0,200,0.0
2014,N00033363,Tom Cotton,R,AR,,SEN, ,RC, ,6418804.0,8763712.0,17767321,2584805.0
2010,N00031098,Ashvin Prakash Lad,R,IL,IL-05,CON,Y,RL, ,,9658.0,14477,4819.0
2014,N00036854,Dave McCoy,D,NC,,SEN, ,DC, ,,,0,0.0
2014,N00036135,Garret Graves,R,LA,LA-06,CON,Y,RW, ,294359.0,1154484.0,1492860,44017.0
2014,N00029115,Bill Grisolia,D,CA,CA-37,CON, ,DN, ,,,0,0.0
2014,N00027891,Dan Maffei,D,NY,NY-24,CON,Y,DL, ,1609941.0,1292331.0,3031971,129699.0
2010,N00026166,Virginia Foxx,R,NC,NC-05,CON,Y,RW, ,253663.0,448089.0,816804,115052.0
2010,N00032091,Jackie Lee Smith,R,OH,OH-09,CON,Y,RL, ,,6350.0,6350,0.0
2014,N00026627,Patrick McHenry,R,NC,NC-10,CON,Y,RW, ,1024002.0,573848.0,1627680,29830.0
2014,N00035237,Tim Imholt,R,MA,MA-03,CON,Y,RN, ,,1300.0,1300,0.0
2014,N00036314,Virginia Conlon,D,NC,NC-13,CON,Y,DL, ,,2450.0,3335,885.0
2010,N00003682,Rob Portman,R,OH,,SEN, ,RW, ,5495453.0,10866772.0,17108340,746115.0
2010,N00003682,Rob Portman,R,OH,,SEN,Y,RW, ,5495453.0,10866772.0,17108340,746115.0
2014,N00036591,Chris Rockwood,D,WI,WI-05,CON,Y,DL, ,3500.0,2000.0,7571,2071.0
2010,N00007581,Doug Ose,R,CA,CA-04,CON, ,RN, ,,485.0,485,0.0
2014,N00035661,Terry Whitney,D,MI,,SEN,Y,DN, ,,5200.0,5200,0.0
2014,N00006349,Chris Cannon,R,UT,UT-03,CON, ,RN, ,,3100.0,3100,0.0
2010,N00032398,Brendan E. Finucane Jr,R,TN,TN-05,CON,Y,RN, ,,6250.0,6825,575.0
2014,N00007836,Maria Cantwell,D,WA,,SEN, ,DI, ,-7250.0,324223.0,700374,383401.0
2014,N00035780,John Bohlinger,D,MT,,SEN,Y,DL, ,1584.0,14500.0,21504,5420.0
2014,N00026252,Nancy Skinner,D,MI,MI-11,CON,Y,DL, ,,11000.0,12190,1190.0
2014,N00035728,Andrew Tobias McNeil,R,IN,IN-08,CON,Y,RL, ,4476.0,20869.0,33946,8601.0
2010,N00032797,Michael Lee Philips,R,MD,MD-08,CON,Y,RL, ,141.0,28125.0,36527,8261.0
2010,N00031526,Walter Ray Hufford,R,PA,PA-06,CON,Y,RN, ,7000.0,0.0,18250,11250.0
2014,N00005332,Don Stenberg,R,NE,,SEN, ,RN, ,,-500.0,-500,0.0
2014,N00031672,Blake Farenthold,R,TX,TX-27,CON,Y,RW, ,443109.0,614441.0,1105162,47612.0
2010,N00030959,Gary Dewitt Mann,R,TN,TN-06,CON,Y,RL, ,,2100.0,3920,1820.0
2014,N00033814,Alex Mooney,R,WV,WV-02,CON, ,RO, ,911951.0,1087054.0,2228710,229705.0
2014,N00033814,Alex Mooney,R,WV,WV-02,CON,Y,RW, ,911951.0,1087054.0,2228710,229705.0
2014,N00030797,Maureen Reed,D,MN,MN-06,CON, ,DN, ,,,0,0.0
2010,N00002408,James E. Clyburn,D,SC,SC-06,CON,Y,DW, ,2142444.0,1091318.0,3285534,51772.0
2014,N00033218,Lisa A. Wilson-Foley,R,CT,CT-05,CON, ,RN, ,,32200.0,32200,0.0
2010,N00030752,Jeff Duncan,R,SC,SC-03,CON,Y,RW, ,569114.0,568483.0,1245555,107958.0
2014,N00034999,Antonio Blue,D,NC,NC-08,CON,Y,DL, ,5001.0,,5121,120.0
2010,N00025104,John Arthur Smith,D,NM,NM-02,CON, ,DN, ,,3500.0,3500,0.0
2014,N00031611,Matthew Campbell,D,IA,IA-05,CON, ,DN, ,,,168,168.0
2010,N00001685,Jay Rockefeller,D,WV,,SEN, ,DI, ,285770.0,153624.0,440135,741.0
2014,N00035259,Tony Edward Arterburn Jr,R,TX,TX-04,CON,Y,RL, ,,96418.0,98873,2455.0
2010,N00030733,Martin C. Beeson,R,CO,CO-03,CON,Y,RN, ,,6600.0,7980,1380.0
2010,N00030542,Robert Kirk Wasinger,R,KS,KS-01,CON,Y,RL, ,25500.0,330807.0,667307,311000.0
2014,N00035766,Joe Pakootas,D,WA,WA-05,CON,Y,DL, ,23638.0,105049.0,191227,62540.0
2014,N00024792,Alexandria A Coronado,R,CA,CA-47,CON, ,RN, ,,,0,0.0
2010,N00029149,Thomas A Casperson,R,MI,MI-01,CON, ,RN, ,550.0,400.0,950,0.0
2014,N00035911,Bruce Davis,D,NC,NC-06,CON,Y,DL, ,,12150.0,22524,10374.0
2010,N00029685,Paul B Sawyer,R,LA,LA-06,CON, ,RN, ,,,0,0.0
2000,N00013699,Marilyn Macdermaid,3,MI,MI-11,CON,Y,3L, ,,,0,
2014,N00030736,John Carney,D,DE,DE-01,CON,Y,DW, ,887486.0,294410.0,1208235,26339.0
2014,N00036175,Steven Russell,R,OK,OK-05,CON,Y,RW, ,343150.0,587349.0,978875,48376.0
2010,N00025059,Jeb Bradley,R,NH,NH-01,CON, ,RN, ,-1359.0,,-1359,0.0
2010,N00030586,Victor Alexander Forys,D,IL,IL-05,CON,Y,DL, ,,94370.0,94770,400.0
2010,N00032161,Leonard J. Fabiano,R,UT,,SEN,Y,RL, ,,37016.0,37016,0.0
2014,N00027575,Brad Ellsworth,D,IN,,SEN, ,DN, ,,,0,0.0
2014,N00027575,Brad Ellsworth,D,IN,IN-08,CON, ,DN, ,,,0,0.0
2014,N00031958,Steven Palazzo,R,MS,MS-04,CON,Y,RW, ,518431.0,426087.0,959083,14565.0
2014,N00036386,Brian Wonnacott,D,UT,UT-03,CON,Y,DL, ,200.0,,200,0.0
2014,N00033591,Scott Peters,D,CA,CA-52,CON,Y,DW, ,1533037.0,2356512.0,4357233,467684.0
2014,N00032344,David Ryan Brumberg,R,NY,NY-14,CON, ,RN, ,,,0,0.0
2010,N00008046,Barbara Lee,D,CA,CA-09,CON,Y,DW, ,427210.0,583146.0,1110218,99862.0
2010,N00031865,Robert Allen Branch,R,AZ,AZ-03,CON,Y,RL, ,,6524.0,7954,1430.0
2014,N00007999,Don Young,R,AK,AK-01,CON,Y,RW, ,299892.0,403833.0,733970,30245.0
2010,N00031892,Mike Horner,R,GA,GA-12,CON,Y,RL, ,,1000.0,1600,600.0
2010,N00031750,Jeff Perry,R,MA,MA-10,CON,Y,RL, ,468045.0,672639.0,1482799,342115.0
2000,N00013700,Bonnie Hixson,3,MI,MI-11,CON,Y,3L, ,,,0,
2000,N00013701,Daniel E Malone,3,MI,MI-11,CON,Y,3L, ,,,0,
2010,N00031042,Joseph E. Budd,R,FL,FL-19,CON,Y,RL, ,,56905.0,68260,11355.0
2014,N00031011,Bill Owens,D,NY,NY-21,CON,Y,DI, ,485981.0,275249.0,794475,33245.0
2010,N00002856,Carrie Meek,D,FL,FL-17,CON, ,DN, ,,,0,0.0
2014,N00035915,Keith Ruehl,D,NC,NC-11,CON,Y,DL, ,,32915.0,41189,8274.0
2014,N00029164,Fred L. Dailey,R,OH,OH-18,CON, ,RN, ,,,0,0.0
2014,N00035374,Paul Dietzel,R,LA,LA-06,CON,Y,RO, ,24200.0,432318.0,505051,48533.0
2014,N00034723,Travis Schooley,R,PA,PA-09,CON,Y,RL, ,,27837.0,28621,784.0
2014,N00026080,John Barrow,D,GA,GA-12,CON,Y,DL, ,2466665.0,1302257.0,3888458,119536.0
2010,N00001817,C. W. Bill Young,R,FL,FL-10,CON,Y,RW, ,374334.0,269950.0,693723,49439.0
2010,N00032005,David Daubenmire,R,OH,OH-18,CON,Y,RL, ,,3670.0,13215,9545.0
2010,N00002167,Virgil H. Goode Jr,3,VA,VA-05,CON,Y,3C, ,1000.0,3400.0,4864,464.0
2010,N00025337,Mario Diaz-Balart,R,FL,FL-21,CON,Y,RW, ,388766.0,313114.0,704665,2785.0
2010,N00031815,Elliott Maynard,R,WV,WV-03,CON,Y,RL, ,380906.0,824272.0,1253865,48687.0
2010,N00031529,Ira Hoffman,R,PA,PA-08,CON,Y,RL, ,,3775.0,3775,0.0
2010,N00030881,Tommy Franklin Crangle,R,TN,TN-03,CON,Y,RL, ,500.0,2750.0,8380,5130.0
2010,N00030583,Tom Lucero,R,CO,CO-04,CON,Y,RN, ,,108302.0,151258,42956.0
2014,N00031820,Chris Coons,D,DE,,SEN,Y,DW, ,1728227.0,3112911.0,5042428,201290.0
2014,N00033461,Khizar Jafri,I,IL,IL-06,CON, ,3N, ,,,0,0.0
2010,N00031620,Kande Ngalamulume,D,MI,MI-08,CON,Y,DL, ,6000.0,10410.0,28325,11915.0
2014,N00003535,Sherrod Brown,D,OH,,SEN, ,DI, ,797199.0,969087.0,2322638,556352.0
2014,N00009869,Orrin G. Hatch,R,UT,,SEN, ,RI, ,269365.0,248072.0,520468,3031.0
2014,N00009869,Orrin G. Hatch,R,UT,,SEN, ,RI, ,269365.0,248072.0,520468,3031.0
2014,N00007021,Juan Vargas,D,CA,CA-51,CON,Y,DW, ,589898.0,182900.0,775742,2944.0
2014,N00035812,Tue Phan Quang,R,CA,CA-11,CON,Y,RL, ,3976.0,74784.0,106003,27243.0
2014,N00031522,Peter A. Zinno,R,NY,NY-04,CON, ,RN, ,,,0,0.0
2010,N00003572,Dennis J. Kucinich,D,OH,OH-10,CON,Y,DW, ,139360.0,229713.0,369073,0.0
2010,N00003572,Dennis J. Kucinich,D,OH,OH-10,CON,Y,DW, ,139360.0,229713.0,369073,0.0
2010,N00031446,Cal Cunningham,D,NC,,SEN,Y,DL, ,296329.0,1350797.0,1791179,144053.0
2014,N00033665,Rose Meza Harrison,D,TX,TX-27,CON, ,DN, ,,850.0,850,0.0
2010,N00032012,David Madeira,R,PA,PA-10,CON,Y,RL, ,,35948.0,56157,20209.0
2010,N00030968,Reid Ribble,R,WI,WI-08,CON,Y,RW, ,510946.0,808837.0,1415426,95643.0
2010,N00031725,Jim Judd,R,CA,CA-06,CON,Y,RL, ,2500.0,117629.0,167389,47260.0
2014,N00031236,Michael Moon,R,MO,MO-07,CON, ,RN, ,,,0,0.0
2014,N00032735,Jason Andrew Napolitano,I,CO,,SEN, ,3N, ,,,0,0.0
2014,N00026546,Francine P. Busby,D,CA,CA-50,CON, ,DN, ,,,0,0.0
2014,N00031276,Peter Schiff,R,CT,,SEN, ,RN, ,,,0,0.0
2010,N00031657,John Lingenfelder Jr,D,TX,TX-03,CON,Y,DL, ,7100.0,12100.0,29114,9914.0
2010,N00032476,John Kupiec,R,MI,MI-05,CON,Y,RL, ,17132.0,131095.0,184975,36748.0
2010,N00003765,Mike Pence,R,IN,IN-06,CON,Y,RW, ,670732.0,1477561.0,2647294,499001.0
2014,N00025084,David R. Hernandez,R,CA,CA-29,CON, ,RN, ,,,0,0.0
2014,N00001814,Robin Tallon,D,SC,SC-06,CON, ,DN, ,,,0,0.0
2014,N00031023,Chad Lee,R,WI,WI-02,CON, ,RN, ,,,0,0.0
2014,N00001026,Paul J Feiner,D,NY,NY-20,CON, ,DN, ,,,0,0.0
2014,N00035601,Mark C. Alliegro,R,MA,MA-09,CON,Y,RL, ,1000.0,52158.0,79673,26515.0
2014,N00009774,Xavier Becerra,D,CA,CA-34,CON,Y,DW, ,1171905.0,678127.0,1857455,7423.0
2014,N00033623,Syed Taj,D,MI,MI-11,CON, ,DN, ,-5000.0,,-5000,0.0
2010,N00031277,Maurice Ferre,D,FL,,SEN,Y,DL, ,250.0,202250.0,206884,4384.0
2014,N00000686,Joseph Pennacchio,R,NJ,,SEN, ,RN, ,,,0,0.0
2014,N00034508,Nicole Lefavour,D,ID,ID-02,CON, ,DN, ,,,0,0.0
2014,N00034547,Grace Meng,D,NY,NY-06,CON,Y,DW, ,237264.0,878930.0,1135373,19179.0
2014,N00000010,Dan Burton,R,IN,IN-05,CON, ,RN, ,-1500.0,,-1500,0.0
2014,N00029631,Dan Powers,D,MN,MN-02,CON, ,DN, ,,,0,0.0
2010,N00006389,Catherine Eden,D,AZ,,SEN,Y,DL, ,5000.0,86950.0,115162,23212.0
2010,N00032585,Robert E. Hayden,R,MA,MA-10,CON,Y,RL, ,,17472.0,19066,1594.0
2010,N00003473,Hal Rogers,R,KY,KY-05,CON,Y,RW, ,510639.0,353278.0,872832,8915.0
2014,N00035403,Carlos Curbelo,R,FL,FL-26,CON,Y,RW, ,996661.0,1784642.0,2781454,151.0
2010,N00029151,Kay Barnes,D,MO,MO-06,CON, ,DN, ,-1284.0,100.0,-1184,0.0
2010,N00031342,Timothy M. Graney,R,TX,TX-14,CON,Y,RL, ,250.0,20150.0,24930,4530.0
2014,N00012233,Robert E. Latta,R,OH,OH-05,CON,Y,RW, ,624419.0,464128.0,1189852,101305.0
2014,N00005181,Russ Carnahan,D,MO,MO-01,CON, ,DN, ,7050.0,6600.0,13650,0.0
2014,N00001542,Melissa Brown,R,PA,PA-13,CON, ,RN, ,,0.0,0,0.0
2010,N00031428,David William Hedrick,R,WA,WA-03,CON,Y,RL, ,1860.0,26730.0,42522,13932.0
2014,N00036635,Zach Dasher,R,LA,LA-05,CON,Y,RC, ,344074.0,564051.0,961916,53791.0
2010,N00006619,John Ensign,R,NV,,SEN, ,RI, ,97353.0,333150.0,458413,27910.0
2014,N00033411,George E. Faught,R,OK,OK-02,CON, ,RN, ,,,0,0.0
2014,N00033537,Felicia Harris,R,TX,TX-14,CON, ,RN, ,,,20,20.0
2014,N00034276,Julian D. Schreibman,D,NY,NY-19,CON, ,DN, ,1068.0,,1133,65.0
2010,N00029688,Barbara Davis White,D,MN,MN-05,CON,Y,DL, ,,11230.0,19923,8693.0
2014,N00013847,John Sullivan,R,OK,OK-01,CON, ,RN, ,8000.0,3000.0,11000,0.0
2014,N00033250,John Stacy,R,TX,TX-04,CON,Y,RL, ,,23625.0,24125,500.0
2014,N00035484,Scott Schaben,R,IA,,SEN,Y,RL, ,,15184.0,18621,3437.0
2010,N00030892,Maurice Marion Sweeney,D,KY,,SEN,Y,DL, ,750.0,23050.0,30805,7005.0
2010,N00032487,Jeffrey T. Lawrence,L,OR,OR-03,CON,Y,3L, ,10.0,15983.0,17102,1109.0
2014,N00033971,Charlie L. Holley,D,AL,AL-05,CON, ,DN, ,,,55,55.0
2000,N00002267,Jonathan Stuart Williams,D,NC,NC-03,CON, ,DN, ,,,0,0.0
2000,N00009816,Chris Smith,R,NJ,NJ-04,CON,Y,RW, ,158607.0,103558.0,592640,330475.0
2000,N00012543,Samuel Y Ewing,R,IL,IL-15,CON,Y,RL, ,52773.0,55283.0,193701,85645.0
2000,N00003431,Jay L Whitehead,R,KY,KY-06,CON, ,RN, ,,,0,0.0
2000,N00013259,Robert Pryor Condon,R,FL,FL-01,CON,Y,RL, ,,61100.0,141684,80584.0
2000,N00004375,Richard J Phelps,D,WI,WI-02,CON, ,DN, ,6250.0,1000.0,9180,1930.0
2000,N00003574,Mary Rose Oakar,D,OH,OH-10,CON, ,DN, ,,,0,0.0
2000,N00002960,Porter Goss,R,FL,FL-14,CON,Y,RW, ,105557.0,59960.0,277137,111620.0
2000,N00013150,Frank Don,3,CT,CT-04,CON,Y,3L, ,,14093.0,25570,11477.0
2000,N00012749,Peppy Martin,3,KY,KY-02,CON,Y,3C, ,,,0,0.0
2000,N00006403,Sam Coppersmith,D,AZ,,SEN, ,DN, ,,,0,0.0
2000,N00005353,William J Jefferson,D,LA,LA-02,CON,Y,DW, ,273388.0,98950.0,472213,99875.0
2000,N00012756,Thomas Ellsworth Hutchins,R,MD,MD-05,CON, ,RC, ,6799.0,35087.0,117826,75940.0
2000,N00013511,Philip M Boyle,R,NY,NY-02,CON,Y,RN, ,250.0,6175.0,23960,17535.0
2000,N00003419,Ann Elizabeth Ross,R,KY,KY-06,CON, ,RN, ,,,0,0.0
2000,N00005161,James A Noland Jr,R,MO,MO-04,CON,Y,RL, ,925.0,1300.0,6885,4660.0
2000,N00009573,Jeff Flake,R,AZ,AZ-01,CON,Y,RW, ,135447.0,483647.0,1040092,420998.0
2000,N00009613,Hector A Tico Perez,R,FL,FL-08,CON,Y,RN, ,0.0,6792.0,83160,76368.0
2000,N00003218,Harold E Ford Jr,D,TN,TN-09,CON,Y,DW, ,224728.0,327902.0,894798,342168.0
2000,N00001190,William G Holst,3,NY,NY-01,CON,Y,3L, ,,2150.0,7189,5039.0
2000,N00006263,Mike Simpson,R,ID,ID-02,CON,Y,RW, ,381448.0,162852.0,773073,228773.0
2000,N00004156,Bob Shrauger,D,MI,MI-02,CON,Y,DL, ,43781.0,34295.0,175928,97852.0
2000,N00004145,Dianne Yvonne Byrum,D,MI,MI-08,CON, ,DO, ,1095152.0,906871.0,3379712,1377689.0
2000,N00004145,Dianne Yvonne Byrum,D,MI,MI-08,CON,Y,DL, ,1095152.0,906871.0,3379712,1377689.0
