id,candidate_name
N00029870,Jennifer M Horn
N00026576,Anita Rivkin-Carothers
N00007936,Brian Baird
N00009888,Lamar Alexander
N00009618,Adam H Putnam
N00026871,Lois K Herr
N00027628,Aaron B Lincoln
N00029611,Rebekah Jean Kennedy
N00009719,Todd Platts
N00026430,Gregg Rippy
N00004436,John Kline
N00026829,Christine Jennings
N00005081,Robert Hoffman
N00024760,Phil Gingrey
N00026154,Paul N Deweese
N00030585,Justin Pereira Oberman
N00027087,Chuck Pennacchio
N00027281,Thelma Drake
N00029025,James V DiPaola
N00029351,Daniel Melzine Kingery
N00008870,Howard Swint
N00026964,Bill Nojay
N00025595,Barry Gordon Irwin
N00004221,Greg Ganske
N00003950,Sander Levin
N00025175,Michael R Turner
N00007815,Gordon H Smith
N00009926,Bill Nelson
N00002315,Robin Hayes
N00027977,Chris Wakim
N00025039,Dale Shugars
N00001128,Geraldine A Ferraro
N00026060,Gary P Nolan
N00003368,Arthur D Rhodes
N00002858,Ileana Ros-Lehtinen
N00004376,John Burk Sharpless
N00029463,Brent Geer Maupin
N00005985,Henry Bonilla
N00006202,Ben Nighthorse Campbell
N00029539,John Newton Frary
N00007397,Pete Stark
N00030404,Nick Dibs
N00028515,Glenda Gail Parker
N00025482,Dutch Ruppersberger
N00029922,Angelo Mancuso
N00026367,Scott Rolle
N00030599,Charles J Wheelan
N00005383,David Thibodaux
N00009954,Lincoln D Chafee
N00001339,Frank Mascara
N00003297,Joyce Arceneaux
N00005724,Max Sandlin
N00025778,Dan Mathias
N00027642,Jay Fawcett
N00030393,Evan Michael Stachowski
N00026618,Corey Eugene Mohn
N00004428,Bob Welch
N00003320,Carroll Rhodes
N00026322,Tony Strickland
N00006825,Peter Mathews
N00029436,D Wayne Wilson
N00025924,Andrew Horning
N00000637,Jim Maloney
N00029071,David John Cappiello
N00009591,Marta Macias Brown
N00005998,Solomon P Ortiz
N00026334,Mildred Williams Glover
N00026764,David M Beasley
N00026392,Sam Texas
N00013462,Christopher David Borcik
N00027738,Jim Nelson
N00003369,Wilburn Fortinberry
N00003321,Ken Stribling
N00026418,Ken Wegner
N00007124,Christopher Cox
N00026042,Carl Isett
N00001025,Joseph J Dioguardi
N00029886,Mark B McCracken
N00025508,Lisa Ann Atkins
N00029174,David O Leavitt
N00026084,Anne B Norlander
N00001148,Carolyn McCarthy
N00026804,Timothy W Carpenter
N00028359,Jim Noorlander
N00029615,Michael Gerrard Cassaro
N00001543,Susan G Ducey
N00003036,Roger Bedford
N00024851,Tom Feeney
N00027851,Robert Chambers
N00030206,Mary D Wright
N00029602,Wayne A Root
N00000243,Thomas M Keane Jr
N00029916,Nicholas B Sparks
N00005645,Ralph M Hall
N00026814,Bill Phillips
N00030251,Herb Robinson
N00027783,Ralph Norman
N00024913,Kevin Feldman
N00009811,Jim Lawing
N00024757,Richter (Rick) Elser
N00028152,Kevin McCarthy
N00007507,George Radanovich
N00029193,Peter Samuel Grasso Jr
N00007422,Ellen O Tauscher
N00029202,Don Wiviott
N00026522,Vicki Johnson
N00006134,Diana DeGette
N00003389,Mitch McConnell
N00026535,Albert Robles
N00029369,John Dicks
N00000968,Daniel Patrick Moynihan
N00001222,Maurice Hinchey
N00030254,Mary Waters
N00004367,Tammy Baldwin
N00006425,John Shadegg
N00000226,John F Tierney
N00029288,Brian P Ruiz
N00027164,Lou Munoz
N00025213,Frank Gonzalez
N00000248,Alex Rodriguez
N00029650,Christopher Jon Balding
N00026754,Joan R Ruff
N00003344,Richard Edward O'Hara
N00003357,Karl Mertz
N00028761,Frank Enriquez
N00026136,Frederic J Cowan
N00026792,Greg Ruehle
N00000423,Charles Bass
N00005818,Sheila Jackson Lee
N00026995,Peter Coors
N00000781,Frank Pallone Jr
N00026148,Louis B Gohmert Jr
N00028954,Greg Warren
N00005265,Michael R Kinard
N00035667,Jim Rubens
N00025226,James L Hart
N00028069,Steve Francis
N00034092,Chris Edwards
N00003939,David E Bonior
N00003352,Ray Coffey
N00024802,Rick Stanley
N00003351,Robert Claunch
N00025026,Donzella James
N00013810,William (Bill) J Campbell
N00026326,Richard Ziser
N00027869,Danny Leroy Stover
N00009656,Eleanor Jordan
N00028023,Steven Greenfield
N00004663,Mike Fellows
N00009829,Jim McDermott
N00027828,Jeff Latas
N00027805,Kenneth Wayne Arnold
N00000397,John E Sununu
N00033123,Dianne Costa
N00004628,Webb Sullivan
N00027502,Thomas H Kean Jr
N00033076,Mike Haridopolos
N00001371,William J Coyne
N00037256,Victoria Steele
N00025626,Janine Selendy
N00027904,Bill Graves
N00026857,Amy Vasquez
N00021222,Chuck Norris
N00029908,Joe Garcia
N00004884,Danny K Davis
N00028547,Edward W Bowlin
N00038203,Dave Anderson
N00025522,Charles McPeek Sr
N00009753,Jim Matheson
N00028369,Catherine M Starr
N00035249,Elizabeth Colbert Busch
N00032290,Arthur Lieber
N00028470,Dan Smith
N00012812,Duane Sand
N00037379,David Librace
N00000019,Hillary Clinton
N00027665,Tom Kovach
N00028294,Vincent Micco
N00036022,Jeffrey Carson
N00034470,Eric Hovde
N00002272,Jerome A Power
N00033734,Perry Haney
N00030682,Scott Murphy
N00003158,John Wolfe Jr
N00028031,Eric Roach
N00026704,Roger Allen Scott
N00025402,Philip Anthony Alfonsi
N00002610,Nathan Deal
N00007012,Alan Kurt Uke
N00037277,Edward Vowell
N00013776,Carlton Wayne Cornett
N00027658,Kirsten Gillibrand
N00028281,Shirley Davis
N00007781,Peter DeFazio
N00002250,Jack Schwartz
N00027830,Francine Shacter
N00030815,Chuck Fleischmann
N00002264,Richard D Skillen
N00028098,Craig Foltin
N00001529,Joseph M Hoeffel
N00037263,Douglas L. Applegate
N00027888,John Hall
N00025299,Tim Bridgewater
N00000751,Bill Pascrell Jr
N00005510,Ralph Forbes
N00031142,David Cozad
N00037030,Charles John Baricevic
N00028137,John F Coyne
N00035711,Carl Higbie
N00036522,Marko Milakovich
N00027759,Scott Kleeb
N00013828,Alan Skorski
N00009653,Gregory Lynne Musil
N00007622,Mufi Hannemann
N00035617,Houston Barnes
N00005398,Cleo Fields
N00008028,Sam Johnson
N00025357,Diane Allen
N00038109,Jack Burton Robinson Jr
N00004671,David McSweeney
N00002376,Robert (Bob) Ayers Jr
N00027679,Bill Glass
N00024965,Roy Streckfuss
N00025042,Sukhmander Singh
N00012639,Rollie Reynolds
N00000738,Steve Lonegan
N00013862,Steve Briese
N00027719,Jim Gilchrist
N00004227,Tom Latham
N00002934,Phyllis H Busansky
N00037152,Daniel Paul Zutler
N00025071,R C Crawford
N00034277,Sean Patrick Maloney
N00031348,Carly Fiorina
N00027585,Peter A Fossett
N00034498,Ron Varasteh
N00025057,Gregory D Ingles
N00008046,Barbara Lee
N00026883,James T Hurysz
N00035849,Wes Neuman
N00025266,Dawn L Bly
N00035621,Dan Innis
N00025059,Jeb Bradley
N00035794,David Smith
N00028265,John Paul Binkowski
N00024811,Rodney Dale Scott
N00025719,C Scott Vanderhoef
N00002292,Ralph M McKinney Jr
N00009917,Kent Hance
N00025612,Kathryn Diantha Lynnes
N00005988,Marco Montoya
N00029070,Jim Himes
N00027822,Susan E Friedman
N00002408,James E Clyburn
N00002167,Virgil H Goode Jr
N00008725,Jim Rooker
N00025337,Mario Diaz-Balart
N00025679,Gail Crook
N00009705,Andy Ewing
N00035504,Liz Cheney
N00001885,Alan L Keyes
N00035462,Yomi Faparusi
N00005458,Bill Powell
N00031690,Bruce Blakeman
N00003682,Rob Portman
N00002856,Carrie Meek
N00028444,Jacob Turk
N00003677,Bob McEwen
N00025390,Scott L Wyatt
N00036096,Jackie McPherson
N00009817,Dick Zimmer
N00024932,Daniel L Stevens
N00005731,Jim Turner
N00028088,Yvonne Rayford Brown
N00009576,Mary Ryan
N00002217,Michael J Robinson
N00001024,Nita M Lowey
N00003877,William G Frazier
N00026776,Elizabeth Rogers
N00027543,John Kanno
N00035682,John Lewis
N00029448,Julien Modica
N00006424,John McCain
N00001817,C W Bill Young
N00035869,Monte Shaw
N00025104,John Arthur Smith
N00002460,Bob Inglis
N00001685,Jay Rockefeller
N00025342,Lou Barlow
N00035640,Suzanne Patrick
N00012470,Peter Christian Kennett Enwall
N00002373,Anna Taylor Stewart
N00028433,Jeff Beatty
N00006802,Willard H R Murray
N00012733,Ronald Oden
N00027496,Philip B Krinkie
N00005805,Ken Bentsen
N00013794,John M Nutting VII
N00033999,Benjamin Campos
N00037177,Marcus Musante
N00010953,Joe Sulzer
N00034549,Adriano Espaillat
N00013861,Gloria Elyse Davis
N00004280,Jim Leach
N00002363,Paul Meadows
N00006118,Patricia Schroeder
N00007581,Doug Ose
N00035925,Niger Innis
N00025393,Charles A Pillsbury
N00028539,Bert L Sargent
N00025512,Robert M Vehar
N00035899,Alan Arcand
N00030642,Alfred Lawson Jr
N00036442,Robert Christopher Sarvis
N00024916,James B Durkin
N00028764,Daniel R Miller
N00028117,Victor D Tognazzini
N00035280,Corey Stapleton
N00006671,Lucille Roybal-Allard
N00008954,Al Gore
N00001111,Noach Dear
N00037046,Daniel Sparks
N00007231,Elton Gallegly
N00004789,Cardiss Collins
N00033449,Val Demings
N00026484,Mark Alan Henry
N00037279,Terence Strait
N00029081,Marhshall Adame
N00027748,John G Doll
N00005555,Darryl F Roberts
N00025035,Mike Johnson
N00027601,Michael Steele
N00003572,Dennis J Kucinich
N00034093,Rory Lancman
N00025644,Robert L Duvall
N00033547,Jason Buck
N00025370,Stephen G Bassett
N00002577,John Lewis
N00006619,John Ensign
N00026302,Greg Philips
N00035557,Igor Birman
N00024890,Steve Lefemine
N00033656,Andre Bauer
N00028032,Derek Casady
N00027934,Eddie Zamora
N00024911,Helen Mckenna Rahder
N00033885,Dennis Anderson
N00025499,Robert William Ray
N00001871,John Glenn
N00027236,Theresa Gerratana
N00026071,Michael Badnarik
N00031060,Paula Brooks
N00033922,Patrick McGehearty
N00027656,Gary B Dodds
N00038573,Michael Bob Starr
N00033745,Leslie Coolidge
N00013177,Scott N Howell
N00025776,Gregory Dennis Mikkelson
N00005182,Mel Carnahan
N00003166,Van Hilleary
N00035278,Katherine Clark
N00037427,Erin Houchin
N00003473,Hal Rogers
N00029835,Martin Heinrich
N00031826,Marc Delphine
N00002260,David Price
N00032629,Charles Edward Allen
N00028073,John A. Yarmuth
N00031746,Michael Engel
N00001082,Edolphus Towns
N00029451,Peter Bearse
N00031163,Andrew Romanoff
N00002368,Bob Burns
N00031099,Maria Rodriguez
N00002222,Alvin Jeffrey Taylor
N00002319,Deborah Garrett Eddins
N00001109,Al Sharpton
N00029894,Dan Mielke
N00032455,Tom Kirby
N00006348,Merrill Cook
N00031310,Michael Deming
N00031707,David G. Argall
N00000491,Susan Collins
N00027060,Brian M. Higgins
N00036281,John Denney
N00028961,Jim Gilmore
N00036428,Kevin Crow
N00032111,David L. Dotson
N00030645,Dennis Ross
N00002389,Chris Heckert
N00031397,Dan Eichenbaum
N00005870,Gene Green
N00002235,John Joseph Kozlowski Jr
N00031645,Hombre Michael Liggett
N00035592,Marcus Hunter
N00029205,Brian Davis
N00031039,Carl Meece
N00032168,Chris Salter
N00009715,Melissa Hart
N00030984,Adam D. Shaffer
N00036074,Jeffrey S. Miller
N00030909,Martha Bozeman
N00030274,Georgianna W Oliver
N00029941,Greg Conlon
N00002312,Ronnie Wayne Adcock
N00030876,Jon Barela
N00033497,Mike Jackson
N00012593,Gerald Lamar Hankins
N00033931,Sylvia S. Romo
N00012594,Wes Flener
N00031164,Jane Norton
N00031709,Scott Baker
N00012595,Jeffrey Blair Peters
N00036446,Steve Laffey
N00034069,Teresa Hensley
N00030956,Robin Smith
N00030604,Elliot Richardson
N00005601,Tom Coburn
N00031402,Michel Faulkner
N00029478,"Wil Armstrong,  III"
N00029901,Mark Begich
N00026557,Diane Goss Farrell
N00032447,Luis Meurice
N00032110,Brandon E. Roop
N00032213,Andrew Sharp
N00030177,Lee Ferrell
N00031124,Nan Hayworth
N00029517,Benjamin Owen Morris
N00031512,Ashley Woolard
N00002079,Larry LaRocco
N00006317,Stephen Sandstrom
N00031673,Bryan Keith Underwood
N00013817,Chellie Pingree
N00035754,Steve Lane
N00029584,Joshua John Kowert
N00036369,Nicholas Robert Troiano
N00026459,Ben Streusand
N00005582,James M. Inhofe
N00005105,Ike Skelton
N00030641,Matthew M. Daly
N00025692,Kendrick B. Meek
N00011406,George D Weber
N00035576,Calvin Turnquest
N00035512,Jo Rae Perkins
N00032510,Bob Schwartz
N00005906,Ron Paul
N00034434,Charles Dumas
N00033247,Daniel O'Connor
N00012596,Erik Thompson
N00032102,Douglas Sligting
N00031629,Rick Berg
N00000554,Demetrios S Giannaros
N00012739,Ander Crenshaw
N00030678,Rebekah Elizabeth Davis
N00001862,Robin Ficker
N00031901,Peter Lindemulder
N00031996,James Milano
N00036185,Nancy Najarian
N00012598,Lynda Danyelle Blodgett
N00032109,Jessee Ring
N00031586,Vernon Parker
N00034482,Leah Campos Schandlbauer
N00032354,Douglas Alan Litt
N00029627,Peter James
N00031226,Jackie Walorski
N00035765,Gavin Seim
N00031285,Michael Beitler
N00036163,Aaron Woolf
N00029309,Patrick J. Flynn
N00032469,Herman Lee Taylor Jr
N00029840,Edwin Robert Winkler
N00030778,Christopher Scott Riggs
N00036259,Brian Slowinski
N00030772,Ruth McClung
N00004643,Max Baucus
N00032458,Hank Dudek
N00036093,Thomas Casson
N00033935,Karen Porterfield
N00028162,Harry E. Mitchell
N00033783,Brenda Lenard
N00001090,James Earl Mcmillan
N00032497,Brenda Freeman Short
N00006882,Howard P. (Buck) Mckeon
N00012666,Harley D. Brown
N00032545,Richard Leinenkugel
N00024852,John Cornyn
N00007335,Anna Eshoo
N00035729,Alan LaPolice
N00029907,Kevin Carney
N00031513,Renee Ellmers
N00030966,Jon David Russell
N00028946,Vernon Jones
N00030205,John P. Miglietta
N00036188,Howie Lind
N00029404,Lee M Zeldin
N00030051,Alan R. Bateman
N00029217,Dana Walsh
N00029613,Greg Orman
N00035276,Gabriel Gomez
N00029846,Debbie Cook
N00036260,S. Mitchell Swan
N00035007,David P Joyce
N00033418,Joe Chow
N00033880,Joe Coors
N00031169,Jacob J. Meister
N00002097,Mark Warner
N00030136,Gordon Leitch
N00031382,Milton J. Sumption
N00004614,Kevin Cramer
N00032524,Mark J. Rawles
N00029905,Jack Hoogendyk
N00031006,Alan Nunnelee
N00004150,Tom Russell
N00033625,Kerry Bentivolio
N00031464,Philip Laurence Liberatore
N00032599,Timothy Vanblommesteyn
N00028630,Jesse Johnson
N00001489,Pat Toomey
N00030648,Yolly Roberson
N00001422,John E. Peterson
N00027943,James Strohm
N00031152,Michael McPadden
N00035422,George Gollin
N00031221,Sharon Denise Dixon
N00001150,David A. Levy
N00031729,Brent Wangen
N00026782,Robert M Neeld Jr
N00028184,Ernest Steven Haze
N00000528,Bernie Sanders
N00031628,"James Edward Taylor,  II"
N00032040,Mike Vontz
N00029662,Bill Posey
N00004309,Herb Kohl
N00027529,Terri McCormick
N00027464,Bruce Braley
N00031883,Kevin Wade
N00028049,Joe Sestak
N00031940,Robert John Overbeek
N00031659,Lou Gigliotti
N00036013,Dave Brat
N00034330,Shelli Yoder
N00035790,Chris Mapp
N00035468,Meshea Poore
N00035306,Peter Clemens
N00035386,Janis K. Percefull
N00030970,Fred Ramey
N00027686,Steve Rathje
N00031849,Princella Smith
N00030685,Mark DeVol
N00030818,John Gay
N00035406,Jeff Chapman
N00031235,Brian Riley
N00035346,Buddy Carter
N00033729,Clark Hall
N00036199,Thomas Patrick Clements
N00026631,Jeffrey Lane Fortenberry
N00035520,Sharon Powe
N00031728,Jake Segrest
N00027552,Tom Brinkman Jr
N00032779,Raymond Atkins
N00033878,Marilyn M. Singleton
N00032449,Frank Saunders
N00035477,Karen Handel
N00031282,Robert E. Burr Jr
N00030800,Matthew Sakalosky
N00029721,Sharen Neuhardt
N00032044,Tracy Potter
N00029935,Suzanne Veronica Jones
N00033598,Evelio Otero
N00034335,Sonya Holmes
N00029126,Brian W Jones
N00036027,Bob Dingethal
N00034616,Bob Flores
N00033510,Raul Ruiz
N00030656,John A. Fritchey
N00026163,Lynn A. Westmoreland
N00026050,Lisa Murkowski
N00030191,Dina Titus
N00029563,Benny Shendo
N00028985,Jim Whitehead
N00035964,Ed Greenleaf
N00024933,Mike Young
N00036364,Linda Thompson
N00029250,Rick Noriega
N00030344,Earl H. Sholley
N00036215,Matt Miller
N00032429,Michael J. Fitzpatrick
N00035408,Ikaika Anderson
N00029462,Josh Segall
N00032771,Eugene Green
N00030688,Darren Yancy
N00030247,Helena Moreno
N00036711,Vince Kolber
N00032077,John Lee Smith
N00031893,Michael Robert Crane
N00027446,Ernest John Pagels Jr
N00004155,Peter Hoekstra
N00035301,J Mark Inman
N00036153,Leon Threatt
N00026258,Gayle B Harrell
N00031637,Paul Stuart Wasserman
N00032062,Jim Huffman
N00028189,Michael Tenenbaum
N00004558,Collin C. Peterson
N00034040,Gary Moore
N00000910,Abraham Hirschfeld
N00001813,Jose E. Serrano
N00031501,Jack Edward Jordan
N00007420,Charles Jokl Ball
N00012970,Tom Osborne
N00004253,Robert Gerard Tully
N00012493,Ramsey W Farley
N00012726,Albert Maxwell Goldberg
N00013132,Stephen Holliday Martin
N00012540,Shawn M Donnelley
N00006970,Esteban E Torres
N00012468,Ernest Allen Rowe
N00009876,David McReynolds
N00012787,William H Bernstein
N00012746,Michael Douglas Graf
N00003790,Marvin Scott
N00009666,Adam Mack
N00013716,Harold H Dunn
N00013236,Charlene Cathcart
N00008067,Adam Clay Miller
N00002630,Charles W Norwood
N00013427,John Louis Moder
N00009746,Elmer L Zoch
N00005928,Nick Lampson
N00004218,Jack Hatch
N00013207,Matthew D Frandsen
N00008091,Spencer Bachus
N00000280,Bill Delahunt
N00002593,Johnny Isakson
N00009154,Bob Goodlatte
N00003651,Ralph Regula
N00007121,Guy C Kimbrough
N00004801,Matthew Joseph Beauchamp
N00002072,Howard Phillips
N00004167,John Ferguson Jr
N00012531,R Owen Sear
N00013425,Joseph Brian Szwaja
N00004373,Ronnie B Greer
N00009678,Jackie Carl Jackson
N00005918,Steve Stockman
N00004391,Mark Green
N00012625,James E Goulka
N00002922,David E (DW2000) Wyatt
N00012624,Terry Lynn Gladman
N00012486,Bill Settle
N00009723,Jose A Hernandez-Mayoral
N00001127,Joseph Crowley
N00012483,Shelley Kiel
N00009638,Barack Obama
N00012689,Ken Payne
N00013077,Barry E Duval
N00006397,Ed Pastor
N00006110,Shannon A Robinson
N00013670,Dan Sewell Ward
N00013317,Bob Brown
N00013167,Leslie Davis
N00002949,Charles T Canady
N00012772,John Kelly
N00012575,Jerry J Mikus ZJr
N00004210,Larry McKibben
N00000569,Barbara B Kennelly
N00010726,Melvin J De Stigter
N00011531,Jerry Bakke
N00006102,Tom Kolbe
N00004563,Marv Hanson
N00011035,Spencer E Dickinson
N00005439,William J (joe) Mcpherson Jr
N00010989,Ted L Jones
N00010725,Dick Jacobs
N00001907,Barbara Osborn Kreamer
N00010401,William F Fahey
N00001049,Benjamin A Gilman
N00005060,Arthur S Montgomery
N00002553,Roger B Marietta
N00004033,Dennis M Hertel
N00002231,Robin Hood
N00002698,Reid Hughes
N00001283,Juanita M Crabb
N00005634,Randy John Sutton
N00005025,Merton Bernstein
N00010811,Thomas B Brandon III
N00001271,Danny Marvin Francis
N00006736,Glenn M Anderson
N00011125,Alma Peter Crane
N00012602,Rocky Flash
N00013510,Justin N Lite
N00007977,N/a Marshall
N00005968,Frank Tejeda
N00009945,Jon S Corzine
N00004108,Sanford N Pensler
N00010988,Charles Lee Kilgore
N00001520,Peter H Kostmayer
N00007337,Gary Joseph Bond
N00000062,John Bennett Johnston III
N00002782,Cliff Stearns
N00003479,Paul Denny Hamm
N00003583,George V Voinovich
N00004879,Babette Peyton
N00000587,Glenn Thomas Carberry
N00000760,Patrick J Roma
N00001576,Bernard Tomkin
N00005712,Chloe N (Jack) Daniel
N00006003,Lloyd Bentsen
N00002912,Kevan Boyles
N00003462,William H Natcher
N00000615,Rosa L DeLauro
N00001915,Ralph Thomas Gies
N00000003,Les Aspin
N00003422,Charles W Ellinger
N00002896,William Washington
N00007998,Tony Smith
N00005486,Michael Lee Gibson
N00010955,Fred Sennet
N00001571,Charles Dougherty
N00003587,Louis Stokes
N00003078,Larry Lee
N00003386,J Alphonso Brown
N00005343,Sandra Kay Scofield
N00000188,Michelle L Flaherty
N00004868,Frank Annunzio
N00000436,Maureen Elizabeth Barrows
N00007621,Maria M Hustace
N00006714,Mark A Robbins
N00010644,Robert Rowe Jr
N00006130,Gary Hart
N00010652,Wilma W Irvin
N00004237,Dave Nagle
N00000620,Bruce A Morrison
N00002927,Joe Deminico
N00008001,William L Hensley
N00000473,Anthony M Payne
N00005679,William O Hammond
N00010416,Ray O'neal
N00005240,Gloria Jean O'Dell
N00000818,Daniel J Mangini
N00006613,Bobbie Weldon Shofner
N00004707,Chad Koppie
N00006402,Bruce Babbitt
N00001211,Nancy Norman Spearman
N00010841,Arthur C Godjikian Jr
N00006519,James B Lewis
N00011066,Jim Osburn
N00011108,Richard Thurl (dick) Bowen
N00005793,Bob Richards
N00002525,Alfred Wiley Beverly
N00007615,Matthew M Matsunaga
N00007294,Ed Hunt
N00005480,James Holland (Jim) Keet III
N00002445,John R Chase
N00000533,Dolores Sandoval
N00001402,Howard Shakespeare
N00010968,Margaret Rose Mathna
N00005542,John David Hershberger
