cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2006,0,0,0.641994,0,0,1,10
2006,0,1,1.725122,1,0,0,23
2006,0,1,1.347881,1,0,0,16
2002,0,0,0.013671,0,1,0,36
2006,0,0,0.0019,1,0,0,38
2000,0,1,0.444972,0,0,1,38
2006,0,0,2.57358,0,0,1,15
2006,0,0,0.007721,1,0,0,45
2002,0,0,0.003475,0,0,1,30
2002,0,0,0.048955,1,0,0,35
2002,0,1,1.554868,1,0,0,19
2002,0,0,0.089747,1,0,0,32
2006,0,0,1.090527,0,1,0,35
2006,0,0,1.687909,1,0,0,32
2006,0,1,1.073282,0,0,1,38
2002,0,0,0.00704,0,1,0,30
2006,0,0,0.015588,0,0,1,10
2002,0,0,0.004625,0,0,1,35
2002,0,1,0.856538,1,0,0,35
2006,0,0,0.016551,0,1,0,13
2002,0,0,0.007111,0,1,0,17
2002,0,1,0.84253,0,0,1,7
2014,0,0,0.186986,0,0,1,32
2006,0,0,0.017804,0,1,0,3
2002,0,0,0.252323,0,0,1,23
2002,0,0,0.004053,1,0,0,27
2006,0,0,0.010621,1,0,0,21
2002,0,1,0.422355,1,0,0,39
2002,0,1,0.692132,0,0,1,13
2002,0,1,1.079245,0,0,1,32
2014,0,0,0.122703,0,0,1,29
2006,0,0,0.402661,0,0,1,10
2002,0,0,0.246376,0,0,1,3
2006,0,0,0.113443,0,0,1,46
2002,0,0,0.239052,1,0,0,21
2000,0,1,2.672142,1,0,0,23
2006,0,1,0.963259,0,0,1,13
2006,0,1,0.64463,0,0,1,32
2006,0,0,0.121594,0,0,1,35
2006,0,1,0.629405,0,0,1,32
2014,0,0,0.323906,0,0,1,12
2010,0,0,0.629695,0,0,1,39
2006,0,1,1.144117,1,0,0,39
2006,0,0,0.45373,0,0,1,3
2002,0,0,0.368116,1,0,0,42
2006,0,1,0.959907,1,0,0,35
2002,0,0,0.010486,0,0,1,35
2002,0,1,0.830118,0,0,1,35
2002,0,0,0.074064,0,1,0,2
2006,0,0,0.00117,0,1,0,9
2002,0,0,0.005243,0,0,1,9
2006,0,0,0.001305,0,0,1,25
2006,0,0,0.071706,0,0,1,35
2006,0,1,0.564454,0,0,1,35
2006,0,0,0.067576,1,0,0,17
2002,0,0,0.769256,1,0,0,43
2002,0,0,0.007779,1,0,0,35
2006,0,1,0.363126,1,0,0,10
2002,0,0,0.018556,0,0,1,47
2002,0,0,0.006187,0,1,0,28
2002,0,0,0.017486,0,1,0,39
2006,0,0,0.013729,1,0,0,35
2002,0,0,0.09614,1,0,0,35
2006,0,0,0.433285,0,1,0,30
2006,0,0,0.14295,1,0,0,7
2002,0,0,0.004555,0,1,0,3
2006,0,1,1.033153,0,0,1,11
2010,0,1,0.981711,1,0,0,45
2010,0,1,1.554727,1,0,0,11
2010,0,0,0.002635,0,1,0,24
2010,0,0,0.005485,0,0,1,7
2014,0,0,5.842611,1,0,0,9
2000,0,0,0.0,0,1,0,45
2010,0,0,0.097007,0,0,1,15
2000,0,0,0.0,0,1,0,45
2010,0,0,0.468059,0,0,1,33
2010,0,0,0.005925,0,0,1,38
2010,0,0,0.367246,0,0,1,19
2014,0,1,0.805411,1,0,0,23
2014,0,0,0.002729,0,1,0,3
2010,0,0,0.00168,0,1,0,13
2014,0,1,1.324025,0,0,1,32
2010,0,1,1.058644,1,0,0,30
2010,0,0,0.02541,0,0,1,10
2014,0,0,0.0062,1,0,0,14
2010,0,0,0.002325,0,0,1,37
2014,0,0,0.003758,1,0,0,34
2010,0,0,0.043184,1,0,0,37
2010,0,0,1.581144,0,0,1,4
2010,0,0,0.00668,0,0,1,30
2014,0,0,0.408893,0,0,1,9
2010,0,0,0.217914,0,0,1,23
2010,0,0,0.076608,1,0,0,32
2010,0,0,0.0,0,0,1,35
2010,0,1,2.11394,0,0,1,23
2010,0,0,0.122668,0,0,1,45
2014,0,1,0.504314,1,0,0,42
2014,0,0,0.032635,0,0,1,47
2010,0,0,0.007753,0,0,1,30
2014,0,0,0.162226,0,1,0,19
2014,0,0,0.150344,0,0,1,30
2010,0,0,3.037886,1,0,0,29
2014,0,0,0.034235,0,0,1,32
2010,0,0,0.017453,0,0,1,47
2010,0,1,0.360139,0,0,1,30
2010,0,1,0.360139,0,0,1,30
2010,0,0,0.003221,0,1,0,44
2010,0,1,2.183764,0,0,1,8
2010,0,1,0.479974,0,0,1,32
2010,0,0,0.053034,1,0,0,48
2010,0,0,0.02495,0,0,1,34
2010,0,0,0.054901,0,0,1,23
