cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00033750,Duchy Trachtenberg,D,MD,6, ,Y,DN,,43000,43000,0
2012,N00031463,Larry Andre,R,CA,39, , ,RN,,1524,1939,415
2012,N00012611,Mike Honda,D,CA,17,Y,Y,DW,340312,483416,884199,60471
2012,N00034412,Bruce Peller,D,NC,5, ,Y,DL,,43054,43054,0
2012,N00030593,Marta Ann Jorgensen,D,CA,24, , ,DN,,,0,0
2012,N00031887,David Rivera,R,FL,26,Y,Y,RL,161673,429750,606074,14651
2012,N00033917,David Cantu,D,TX,15, ,Y,DL,,5450,-350,-5800
2012,N00030737,Stephen J. Bacon,3,FL,7, , ,3N,,,0,0
2012,N00001629,Pat Sellers,R,PA,6, , ,RN,,,0,0
2012,N00033288,Dave Wallace,R,MD,8, ,Y,RL,,10750,16958,6208
2012,N00031758,Ralph Bernard Reeves III,R,NC,13, , ,RN,,1295,1295,0
2012,N00028030,Rosie Avila,R,CA,47, , ,RN,150,,150,0
2012,N00034315,Bob Crowder,R,FL,18, ,Y,RL,,65875,88141,22266
1996,N00008566,Leo Hudetz,D,MT,1, ,Y,DL,3250,15860,44237,25127
2012,N00031338,Dee Adcock,R,PA,13, , ,RN,,,0,0
2000,N00005143,Elizabeth Ann Dulaney,3,MO,5, , ,3N,,,0,
2012,N00034148,Patrick Shearer,D,TX,35, ,Y,DN,,9750,11670,1920
2012,N00030069,Delia Lopez,R,OR,3, ,Y,RL,,,0,0
2012,N00034495,Bill Bloomfield,I,CA,33,Y,Y,3L,,7948685,7961894,13209
2012,N00033395,Dan Kildee,D,MI,5,Y,Y,DW,327957,372392,700349,0
2012,N00030336,Sheldon Schafer,3,IL,18, , ,3N,,,0,0
2000,N00005157,Gary Nodler,R,MO,7, , ,RN,,,0,
2012,N00027944,Pat Baig,R,TX,22, , ,RN,,,0,0
2012,N00033470,Jeff Hunt,R,NC,11, ,Y,RL,,127859,143750,15891
2012,N00034152,Jacqueline Smith,R,UT,1, ,Y,RN,,8428,14532,6104
2012,N00034042,Bill Shein,D,MA,1, ,Y,DL,,-183,23245,23428
2012,N00033266,Michael J. Williams,D,CT,5, ,Y,DN,,78510,90265,11755
2012,N00033910,James Lawrence Mader,R,SC,7, ,Y,RL,,2570,2947,377
2012,N00032115,Jesse L. Young,R,WA,6, ,Y,RL,,39247,60045,20798
2012,N00025382,Jim Greenfield,R,OR,1, ,Y,RL,,2300,2900,600
2012,N00034000,Jay Chen,D,CA,39,Y,Y,DL,319082,489149,904339,96108
2012,N00031851,Steve Bryles,D,AR,1, , ,DN,,,0,0
2000,N00005089,Thad Bullock,D,MO,8, , ,DN,,,0,
2012,N00031681,David McKinley,R,WV,1,Y,Y,RW,929989,1153964,2175718,91765
2012,N00029931,Douglas Alan Pharr,R,CA,1, , ,RN,,,0,0
2012,N00033803,Jonathan Michael Snow,D,FL,12,Y,Y,DL,5000,3850,16206,7356
2012,N00034250,Paula Aboud,D,AZ,2, ,Y,DN,,3750,11734,7984
2012,N00024857,John Courage,D,TX,21, , ,DN,500,,500,0
2012,N00033224,Chuck Williams,R,UT,2, ,Y,RN,,20526,25940,5414
2012,N00033450,Dean Young,R,AL,1, ,Y,RL,,39750,44722,4972
2012,N00025391,Timothy L Carden,D,NJ,7, , ,DN,,,0,0
2012,N00034342,Hayden Rogers,D,NC,11,Y,Y,DL,262868,445138,761475,53469
2012,N00011971,Dan Lungren,R,CA,7,Y,Y,RI,1483344,1153091,2772273,135838
2012,N00031667,Clayton Trotter,R,TX,20, , ,RN,,,0,0
2012,N00033916,David Alameel,D,TX,33, ,Y,DL,2600,3125,5885,160
2012,N00027749,Chuck Ahner,R,KS,3, , ,RN,,,0,0
2012,N00034570,Manuel Valdez,D,TX,33, ,Y,DL,,5450,5650,200
2012,N00002743,Allen Boyd,D,FL,2, , ,DN,3000,,3000,0
2012,N00007556,John T. Doolittle,R,CA,4, , ,RN,,,0,0
2000,N00003896,Jonathan Weinzapfel,D,IN,8, , ,DN,,,0,0
2012,N00029137,Jay K Footlik,D,IL,10, , ,DN,,,0,0
2012,N00034140,Jane Cross,D,TX,15, ,Y,DL,4500,3250,8895,1145
2016,N00036928,Dan Donovan,R,NY,11, , ,RO,579237,562832,1219699,77630
2012,N00034013,Darren Ayres,R,FL,13, ,Y,RL,1000,38636,43634,3998
2012,N00027609,Tramm Hudson,R,FL,13, , ,RN,,,0,0
2012,N00033747,Chris Miller,D,IL,12, ,Y,DL,,31570,37506,5936
2012,N00025095,John Carter,R,TX,31,Y,Y,RW,434106,445646,888792,9040
2012,N00033241,Don Bates Jr,R,IN,6, ,Y,RL,,169739,185680,15941
2012,N00034695,Sean Seibert,R,TX,18,Y,Y,RL,1000,19946,35744,14798
2012,N00032468,Gregory Adam Bartosz,R,MD,3, , ,RN,,-350,-350,0
2012,N00031992,John Aslanian,R,NJ,9, , ,RN,,450,450,0
2012,N00035215,Robin Kelly,D,IL,2, , ,DN,,157912,186398,28486
2012,N00033462,Jim Hickey,D,IL,11, ,Y,DL,,6350,9855,3505
2012,N00002713,Corrine Brown,D,FL,5,Y,Y,DW,330570,246117,593520,16833
2012,N00007690,Greg Walden,R,OR,2,Y,Y,RW,1689180,974099,2809091,145812
2012,N00030946,Michael A. Allegretti,R,NY,13, , ,RN,,,0,0
2012,N00034356,F. Jay Seegmiller,D,UT,2,Y,Y,DL,72936,32050,119750,14764
2012,N00031845,Taze Shepard,D,AL,5, , ,DN,,,0,0
2012,N00034119,Melissa Eaton,D,PA,3,Y,Y,DL,74430,110459,257793,72904
2012,N00033426,Andrew Hughes,D,WA,7, ,Y,DL,,192374,208565,16191
2012,N00034312,Susan Shelley,R,CA,30, ,Y,RL,,2221,5619,3398
2012,N00032530,Julie Lassa,D,WI,7, , ,DN,-2000,,-2000,0
2012,N00034683,Harold Whitfield,D,MO,2, ,Y,DL,6000,5750,17560,5810
2012,N00034347,Mark Swomley,R,PA,4, ,Y,RL,,39438,45309,5871
2012,N00026339,Rick Murphy,R,AZ,4, ,Y,RL,,2900,2900,0
2012,N00034073,Danny Bedwell,L,MS,1,Y,Y,3C,,2000,3571,1571
2000,N00005095,John Hendricks,L,MO,8,Y,Y,3L,,,0,
2012,N00031459,Summer Shields,D,CA,12, ,Y,DL,5500,5140,39459,28819
2000,N00005167,Kenneth Bentley Jacob,D,MO,9, , ,DN,,,0,
2000,N00004099,Brian D Ellison,3,MI,5,Y,Y,3L,,,0,
2012,N00034516,Jon Courtney,R,ME,1,Y,Y,RL,17300,70319,124122,36503
2012,N00014314,Gary Richard Arnold,R,CA,17, , ,RN,,,0,0
2012,N00032349,Matthew Zeller,D,NY,23, , ,DN,,,0,0
2012,N00033731,Paul Babeu,R,AZ,4, ,Y,RN,2500,294171,403215,106544
2012,N00012457,Jesse Jackson Jr,D,IL,2,Y,Y,DW,363835,634513,1030441,32093
2012,N00032412,David Miller,R,CA,32,Y,Y,RL,,29949,38699,8750
2012,N00031088,Cecilia Patricia Iglesias,I,CA,47, , ,3N,,,0,0
2012,N00033994,Jess Herrera,D,CA,26, ,Y,DL,2000,11885,24408,10523
2004,N00026853,Donna J Anderson,D,NE,3,Y,Y,DL,,1930,5747,3817
2008,N00028126,Scott Lloyd Folkens,R,CA,43, ,Y,RL,,3325,4734,1409
2004,N00026589,Nick Clooney,D,KY,4,Y,Y,DL,2297037,909216,3294177,87924
2008,N00030062,David Krikorian,3,OH,2,Y,Y,3L,1000,96341,138130,40789
2008,N00028338,Charles Dertinger,D,PA,15, , ,DN,-2500,,-2500,0
2008,N00029784,Glenn Nye,D,VA,2,Y,Y,DW,1050448,981589,2126670,94633
2004,N00026827,Richard John Penberthy,D,FL,5, ,Y,DL,,3900,5874,1974
2008,N00029649,Jackie Speier,D,CA,12,Y,Y,DW,348337,1176524,1643683,118822
2008,N00029950,Matt Kokkonen,R,CA,23,Y,Y,RL,4000,20117,34928,10811
2008,N00004762,Judy Biggert,R,IL,13,Y,Y,RW,749388,644910,1438466,44168
2004,N00026521,Cynthia Matthews,D,CA,26,Y,Y,DL,5148,23000,42592,14444
2008,N00029880,Mike Carroll,D,OH,4,Y,Y,DL,15550,10550,30358,4258
2004,N00026633,George Charles Ajjan,R,NJ,8,Y,Y,RL,,108354,138889,30535
2008,N00029474,Mike Copass,D,CA,53, ,Y,DL,,8300,12296,3996
2008,N00029870,Jennifer M Horn,R,NH,2,Y,Y,RL,170365,194835,400613,35413
2004,N00026576,Anita Rivkin-Carothers,D,IL,7, , ,DC,,39220,48675,9455
2004,N00026576,Anita Rivkin-Carothers,D,IL,7, ,Y,DL,,39220,48675,9455
2004,N00007936,Brian Baird,D,WA,3,Y,Y,DW,318333,460465,925152,146354
2004,N00009618,Adam H Putnam,R,FL,12,Y,Y,RW,327681,381033,808711,99997
2004,N00026871,Lois K Herr,D,PA,16,Y,Y,DL,3400,35588,72387,33399
2008,N00027628,Aaron B Lincoln,R,IL,8, , ,RN,,-250,-250,0
2004,N00009719,Todd Platts,R,PA,19,Y,Y,RW,11142,152271,216469,53056
2004,N00026430,Gregg Rippy,R,CO,3, ,Y,RL,27167,217994,266147,20986
2000,N00004436,John Kline,R,MN,6,Y,Y,RL,639515,616248,1981064,725301
2008,N00026829,Christine Jennings,D,FL,13,Y,Y,DL,481552,1359322,2134341,293467
2000,N00005081,Robert Hoffman,L,MO,9,Y,Y,3L,,,0,
2008,N00024760,Phil Gingrey,R,GA,11,Y,Y,RW,395987,1104799,1540324,39538
2004,N00026154,Paul N Deweese,R,MI,7, ,Y,RL,1300,108729,135539,25510
2008,N00030585,Justin Pereira Oberman,D,IL,5, , ,DN,,157350,171592,14242
2004,N00027281,Thelma Drake,R,VA,2,Y,Y,RW,899168,335933,1289476,54375
2008,N00029025,James V DiPaola,D,MA,5, ,Y,DN,,6505,6705,200
2004,N00008870,Howard Swint,D,WV,2, ,Y,DL,,16441,16441,0
2004,N00026964,Bill Nojay,R,NY,29, ,Y,RN,,37987,50124,12137
2004,N00025595,Barry Gordon Irwin,D,GA,9, , ,DN,,200,400,200
2008,N00003950,Sander Levin,D,MI,12,Y,Y,DW,557667,101925,715702,56110
2004,N00025175,Michael R Turner,R,OH,3,Y,Y,Rw,449645,523851,1070264,96768
2004,N00002315,Robin Hayes,R,NC,8,Y,Y,RW,885594,684185,1685270,115491
2008,N00027977,Chris Wakim,R,WV,1, , ,RN,-100,,-100,0
2004,N00025039,Dale Shugars,R,MI,6, , ,RN,,450,700,250
2000,N00003368,Arthur D Rhodes,R,MS,4, , ,RN,,,0,
2008,N00002858,Ileana Ros-Lehtinen,R,FL,18,Y,Y,RW,493112,1188712,1730181,48357
2004,N00004376,John Burk Sharpless,R,WI,2, , ,RN,,25,25,0
2008,N00029463,Brent Geer Maupin,I,AZ,1,Y,Y,3L,,27967,28517,550
2004,N00005985,Henry Bonilla,R,TX,23,Y,Y,RW,1044983,1074320,2184037,64734
2008,N00029539,John Newton Frary,R,ME,2,Y,Y,RL,4000,251200,269511,14311
2004,N00007397,Pete Stark,D,CA,13,Y,Y,DW,286088,33700,322354,2566
2008,N00030404,Nick Dibs,I,CA,37, , ,3N,,100,1005,905
2004,N00025482,Dutch Ruppersberger,D,MD,2,Y,Y,DW,290259,412956,747847,44632
2008,N00029922,Angelo Mancuso,R,AL,5, ,Y,RL,,93050,93050,0
2004,N00026367,Scott Rolle,R,MD,6, ,Y,RL,1000,82725,105235,21510
2008,N00030599,Charles J Wheelan,D,IL,5, , ,DO,,134994,149326,14332
2004,N00005383,David Thibodaux,R,LA,7,Y,Y,RL,,32677,39425,6748
2004,N00001339,Frank Mascara,D,PA,12, , ,DN,,87750,89250,1500
2000,N00003297,Joyce Arceneaux,D,MS,4, , ,DN,,,0,
2004,N00005724,Max Sandlin,D,TX,1,Y,Y,DL,1464001,703015,2214696,47680
2004,N00025778,Dan Mathias,R,MN,5,Y,Y,RL,1000,7850,12325,3475
2008,N00027642,Jay Fawcett,D,CO,5, , ,DN,7500,29488,37998,1010
2004,N00026618,Corey Eugene Mohn,D,MO,3, ,Y,DL,,12425,28440,16015
2000,N00003320,Carroll Rhodes,D,MS,4, , ,DN,,,0,
2004,N00006825,Peter Mathews,D,CA,37, ,Y,DL,,3400,9359,5959
2004,N00025924,Andrew Horning,R,IN,7,Y,Y,RL,7100,7595,32446,17751
2004,N00000637,Jim Maloney,D,CT,5, , ,DN,15170,16200,38908,7538
2008,N00029071,David John Cappiello,R,CT,5,Y,Y,RL,521916,1085182,1730514,123416
2004,N00009591,Marta Macias Brown,D,CA,42, , ,DN,-100,,-100,0
2004,N00005998,Solomon P Ortiz,D,TX,27,Y,Y,DW,176140,366000,545534,3394
2004,N00026392,Sam Texas,R,TX,7, ,Y,RL,,5400,5400,0
2004,N00013462,Christopher David Borcik,I,GA,3, , ,3N,,10,10,0
2008,N00027738,Jim Nelson,D,GA,1, , ,DN,,11794,12794,1000
2000,N00003369,Wilburn Fortinberry,R,MS,4, , ,RN,,,0,
2000,N00003321,Ken Stribling,R,MS,4, , ,RN,,,0,
2008,N00026418,Ken Wegner,R,NV,1,Y,Y,RL,1,15542,15543,0
2004,N00007124,Christopher Cox,R,CA,48,Y,Y,RW,474516,610055,1109434,24863
2004,N00026042,Carl Isett,R,TX,19, ,Y,RL,59428,492528,657865,105909
2008,N00001025,Joseph J Dioguardi,3,NY,19, , ,3N,,90000,90000,0
2008,N00029886,Mark B McCracken,D,PA,5,Y,Y,DL,28316,30182,82940,24442
2004,N00025508,Lisa Ann Atkins,R,AZ,2, , ,RN,-1000,,-1000,0
2008,N00029174,David O Leavitt,R,UT,3, ,Y,RL,22500,236045,267149,8604
2004,N00026084,Anne B Norlander,R,MI,7, ,Y,RN,1000,52177,72915,19738
2004,N00001148,Carolyn McCarthy,D,NY,4,Y,Y,DW,534172,413851,1637126,689103
2004,N00026804,Timothy W Carpenter,D,WI,4, ,Y,DL,12601,171777,240996,56618
2008,N00028359,Jim Noorlander,3,UT,3,Y,Y,3L,,2500,5082,2582
2008,N00001543,Susan G Ducey,R,KS,4, , ,RL,,2164,2164,0
2008,N00001543,Susan G Ducey,3,KS,4,Y,Y,3L,,2164,2164,0
1996,N00005383,David G Thibodaux,R,LA,7,Y,Y,RL,88727,77919,265067,98421
2008,N00024851,Tom Feeney,R,FL,24,Y,Y,RL,1272615,721742,2169392,175035
2008,N00027851,Robert Chambers,D,IA,5, , ,DN,,1045,2322,1277
2008,N00030206,Mary D Wright,I,TN,9,Y,Y,3L,,18874,20004,1130
2004,N00000243,Thomas M Keane Jr,D,MA,8, , ,DN,,9100,9100,0
2008,N00029916,Nicholas B Sparks,D,AL,4,Y,Y,DL,500,22586,23336,250
2004,N00005645,Ralph M Hall,R,TX,4,Y,Y,RW,704907,420528,1164381,38946
2008,N00030251,Herb Robinson,D,MA,4, ,Y,DN,,670,670,0
2008,N00027783,Ralph Norman,R,SC,5, , ,RN,,2000,2000,0
2004,N00024913,Kevin Feldman,D,CA,30, , ,DN,,58526,58581,55
2000,N00009811,Jim Lawing,D,KS,4, , ,DN,,,0,
2004,N00024757,Richter (Rick) Elser,R,CT,3,Y,Y,RL,784,11700,19484,7000
2008,N00028152,Kevin McCarthy,R,CA,22,Y,Y,RW,504265,490764,1011786,16757
2004,N00007507,George Radanovich,R,CA,19,Y,Y,RW,374417,359140,810934,77377
2008,N00007422,Ellen O Tauscher,D,CA,10,Y,Y,DW,887660,328455,1261098,44983
2008,N00029202,Don Wiviott,D,NM,3, ,Y,DO,12343,464191,537181,60647
2004,N00026522,Vicki Johnson,D,CA,26, ,Y,DL,105,4401,6685,2179
