,cycle,id,candidate_name,party,state,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
0,1996,N00004451,Stephen Bonsal Young (R),R,MNS1, ,Y,RL,492.0,97408.0,264254,166354.0
1,1996,N00001670,Raymond J Clatworthy (R),R,DES2,Y,Y,RL,202815.0,618935.0,1636414,814664.0
2,1996,N00000525,Gavin Terence Mills (I),I,VTS1, , ,3L,,266.0,266,0.0
3,1996,N00006284,James A McClure (R),R,IDS1, , ,RN,,,0,0.0
4,1996,N00000421,Dick Swett (D),D,NHS2,Y,Y,DL,528713.0,1161345.0,3020794,1330736.0
5,1996,N00004481,Gen Olson (R),R,MNS2, , ,RN,,,50,50.0
6,1996,N00000871,Jeffrey Bell (R),R,NJS1, , ,RN,,,0,0.0
7,1996,N00004402,Thomas M Fitzpatrick (R),R,WIS1, , ,RN,,,0,0.0
8,1996,N00007206,John F Seymour (R),R,CAS2, , ,RN,0.0,,0,0.0
9,1996,N00003989,Carl D Pursell (R),R,MIS2, , ,RN,,,0,0.0
10,1996,N00005165,John Ashcroft (R),R,MOS2, , ,RW,-20076.0,76499.0,131498,75075.0
11,1996,N00008968,Henry J (Hank) Blake Jr (D),D,AKS1, ,Y,DL,,1750.0,3895,2145.0
12,1996,N00005694,Michael Troy Mata (R),R,TXS2, , ,RN,,,0,0.0
13,1996,N00005549,Warren Antony Caldwell (R),R,OKS2, , ,RN,,,0,0.0
14,1996,N00004441,Monti A Moreno (R),R,MNS1, ,Y,RL,,6400.0,15400,9000.0
15,2012,N00026183,Tom Ravenel (R),R,SCS1, , ,RN,,,0,0.0
16,2012,N00028058,James Webb (D),D,VAS1, , ,DI,-6000.0,-39000.0,-44185,815.0
17,2012,N00008519,Scott Boman (L),L,MIS2,Y,Y,3C,1000.0,4450.0,9232,3782.0
18,2012,N00027691,Lise C Van Susteren (D),D,MDS1, , ,DN,,,0,0.0
19,2010,N00030702,John Sharp (D),D,TXS2, , ,DN,6000.0,821223.0,880960,53737.0
20,2012,N00031173,Alan Khazei (D),D,MAS1, ,Y,DN,,829036.0,903665,74629.0
21,2000,N00005202,Marc Perkel (R),R,MOS2, , ,RC,,,0,
22,2012,N00006182,Bob Schaffer (R),R,COS2, , ,RN,,,0,0.0
23,2012,N00034973,Ken Kaplan (L),L,NJS1,Y,Y,3C,800.0,,800,0.0
24,2012,N00030795,RIck Wilson (R),R,MIS2, ,Y,RN,1000.0,250.0,1250,0.0
25,2012,N00030795,Rick Wilson (R),R,MIS2, , ,RC,1000.0,250.0,1250,0.0
26,2012,N00032821,Chet D. Traylor (R),R,LAS2, , ,RN,,,0,0.0
27,2012,N00032819,Jack Rooney (I),I,INS1,Y,Y,3L,,6000.0,6000,0.0
28,2012,N00031696,Mike Lee (R),R,UTS2, , ,RI,142499.0,273620.0,454286,38167.0
29,2012,N00033263,Stanley Garza (D),D,TXS2, ,Y,DN,,,0,0.0
30,2012,N00030766,Robert Allen Taylor (3),3,WIS2, , ,3N,,,0,0.0
31,2012,N00026271,Steve Novick (D),D,ORS1, , ,DN,,,0,0.0
32,2012,N00026271,Steve Novick (D),D,ORS1, , ,DN,,,0,0.0
33,2012,N00033343,Dan 'Doc' Severson (R),R,MNS2, ,Y,RN,500.0,110637.0,181049,69912.0
34,2012,N00033031,Jamie L. Radtke (R),R,VAS1, ,Y,RL,2500.0,425301.0,648141,220340.0
35,2012,N00034220,Terrence Modglin (I),I,VAS1,Y,Y,3L,,4131.0,5795,1664.0
36,2008,N00001764,Richard G Lugar (R),R,INS1, , ,RI,11000.0,442114.0,541303,88189.0
37,2008,N00009888,Lamar Alexander (R),R,TNS2,Y,Y,RW,1684869.0,3911380.0,5747547,151298.0
38,2008,N00029611,Rebekah Jean Kennedy (3),3,ARS1,Y,Y,3C,900.0,9395.0,12822,2527.0
39,2004,N00027087,Chuck Pennacchio (D),D,PAS2, , ,DN,,4200.0,16220,12020.0
40,2004,N00004221,Greg Ganske (R),R,IAS2, , ,RN,-2214.0,500.0,-814,900.0
41,2008,N00007815,Gordon H Smith (R),R,ORS1,Y,Y,RL,4114723.0,4920165.0,9661563,626675.0
42,2004,N00009926,Bill Nelson (D),D,FLS1, , ,DI,355655.0,1118212.0,2678569,1204702.0
43,2004,N00001128,Geraldine A Ferraro (D),D,NYS2, , ,DN,,500.0,500,0.0
44,2004,N00006202,Ben Nighthorse Campbell (R),R,COS1, , ,RI,385466.0,1118164.0,2791311,1287681.0
45,2008,N00009954,Lincoln D Chafee (R),R,RIS1, , ,RN,-6500.0,1500.0,-5000,0.0
46,2008,N00030393,Evan Michael Stachowski (I),I,MAS2, ,Y,3N,,710.0,710,0.0
47,2004,N00004428,Bob Welch (R),R,WIS2, ,Y,RL,60250.0,812044.0,2050397,1178103.0
48,2008,N00026322,Tony Strickland (R),R,CAS1, , ,RN,645.0,14500.0,15145,0.0
49,2004,N00026764,David M Beasley (R),R,SCS1, ,Y,RL,64250.0,2244611.0,4803313,2494452.0
50,2008,N00029615,Michael Gerrard Cassaro (D),D,KYS1, ,Y,DL,5000.0,46051.0,42200,-8851.0
51,2004,N00003036,Roger Bedford (D),D,ALS1, , ,DN,,9060.0,18645,9585.0
52,2004,N00026814,Bill Phillips (D),D,FLS2, ,Y,DN,,204608.0,213066,8458.0
53,2008,N00003389,Mitch McConnell (R),R,KYS1,Y,Y,RW,4853745.0,11082465.0,16826775,890565.0
54,2004,N00000968,Daniel Patrick Moynihan (D),D,NYS1, , ,DN,,-13000.0,-13000,0.0
55,2004,N00026754,Joan R Ruff (D),D,KSS2, ,Y,DN,589.0,89276.0,179355,89490.0
56,2004,N00026136,Frederic J Cowan (D),D,KYS2, ,Y,DN,,254088.0,645947,391859.0
57,2004,N00026995,Peter Coors (R),R,COS1,Y,Y,RL,2491788.0,5011879.0,12494783,4991116.0
58,2016,N00035667,Jim Rubens (R),R,NHS2, , ,RN,,,0,0.0
59,2002,N00024802,Rick Stanley (L),L,COS2,Y,Y,3L,,3689.0,15323,11634.0
60,2006,N00026326,Richard Ziser (R),R,NVS2, , ,RN,,2426.0,2426,0.0
61,2006,N00028023,Steven Greenfield (D),D,NYS1, ,Y,DN,,1000.0,1000,0.0
62,2016,N00000397,John E Sununu (R),R,NHS2, , ,RN,,,0,0.0
63,2016,N00033076,Mike Haridopolos (R),R,FLS1, , ,RN,,,0,0.0
64,2006,N00028369,Catherine M Starr (D),D,MSS2, ,Y,DL,,1000.0,1000,0.0
65,2016,N00012812,Duane Sand (R),R,NDS2, , ,RN,,9905.0,9905,0.0
66,2016,N00034470,Eric Hovde (R),R,WIS1, , ,RN,,,0,0.0
67,2016,N00027658,Kirsten Gillibrand (D),D,NYS1, , ,DI,42750.0,638043.0,810538,129745.0
68,2006,N00001529,Joseph M Hoeffel (D),D,PAS1, , ,DN,-2750.0,7257.0,4507,0.0
69,2016,N00027759,Scott Kleeb (D),D,NES2, , ,DN,,,0,0.0
70,2006,N00025357,Diane Allen (R),R,NJS2, , ,RN,5000.0,3000.0,8000,0.0
71,1992,N00009917,Kent Hance (R),R,TXS1, , ,RN,,,0,0.0
72,2002,N00025679,Gail Crook (I),I,VAS2, ,Y,3C,,5454.0,8299,2845.0
73,2014,N00035504,Liz Cheney (R),R,WYS2, ,Y,RN,11090.0,1221724.0,1414412,181598.0
74,2006,N00001885,Alan L Keyes (R),R,ILS2, , ,RN,,76816.0,660691,583875.0
75,2006,N00001885,Alan L Keyes (R),R,ILS2, , ,RN,,76816.0,660691,583875.0
76,2012,N00006424,John McCain (R),R,AZS1, , ,RI,-4000.0,-69396.0,-73396,0.0
77,2006,N00001685,Jay Rockefeller (D),D,WVS2, , ,DI,185250.0,429450.0,614700,0.0
78,2008,N00028433,Jeff Beatty (R),R,MAS2, , ,RL,6421.0,442681.0,1825427,1376325.0
79,2004,N00005805,Ken Bentsen (D),D,TXS1, , ,DN,-7000.0,2703.0,-4297,0.0
80,2016,N00036442,Robert Christopher Sarvis (L),L,VAS2, , ,3N,,522.0,557,35.0
81,2002,N00024916,James B Durkin (R),R,ILS1,Y,Y,RL,62542.0,518256.0,1210948,630150.0
82,2006,N00027601,Michael Steele (R),R,MDS1,Y,Y,RL,3542306.0,5573101.0,10729709,1614302.0
83,2006,N00006619,John Ensign (R),R,NVS1,Y,Y,RW,2157708.0,2932424.0,5177552,87420.0
84,2002,N00025499,Robert William Ray (R),R,NJS2, ,Y,RN,,17450.0,36875,19425.0
85,2002,N00001871,John Glenn (D),D,OHS2, , ,DN,100000.0,,100000,0.0
86,2002,N00013177,Scott N Howell (D),D,UTS1, , ,DN,600.0,,600,0.0
87,2002,N00005182,Mel Carnahan (D),D,MOS2, , ,DN,,2000.0,2000,0.0
88,2014,N00029835,Martin Heinrich (D),D,NMS1, , ,DI,187244.0,481017.0,688420,20159.0
89,2010,N00031826,Marc Delphine (L),L,ORS2,Y,Y,3L,,2900.0,5103,2203.0
90,2010,N00032629,Charles Edward Allen (D),D,WAS2, ,Y,DL,,,0,0.0
91,2010,N00006348,Merrill Cook (R),R,UTS2, ,Y,RL,-500.0,27175.0,33869,7194.0
92,2010,N00000491,Susan Collins (R),R,MES2, , ,RI,213750.0,114641.0,365760,37369.0
93,2010,N00028961,Jim Gilmore (R),R,VAS2, , ,RN,17500.0,650.0,18972,822.0
94,2014,N00036428,Kevin Crow (R),R,OKS1, ,Y,RL,,4260.0,4260,0.0
95,2010,N00030984,Adam D. Shaffer (I),I,OHS2,Y,Y,3L,,415.0,415,0.0
96,2010,N00031164,Jane Norton (R),R,COS1, ,Y,RL,648953.0,1927618.0,2819781,243210.0
97,2010,N00005601,Tom Coburn (R),R,OKS1,Y,Y,RW,1207840.0,1291917.0,2625510,125753.0
98,2010,N00029901,Mark Begich (D),D,AKS1, , ,DI,237900.0,316517.0,570300,15883.0
99,2010,N00002079,Larry LaRocco (D),D,IDS1, , ,DN,,500.0,500,0.0
100,2010,N00005582,James M. Inhofe (R),R,OKS2, , ,RI,139161.0,119514.0,262771,4096.0
101,2014,N00035512,Jo Rae Perkins (R),R,ORS1, ,Y,RL,,3725.0,6544,2819.0
102,2014,N00006202,Ben Nighthorse Campbell (R),R,COS1, , ,RN,,,0,0.0
103,2010,N00031285,Michael Beitler (L),L,NCS2,Y,Y,3L,,17061.0,22387,5326.0
104,2010,N00029309,Patrick J. Flynn (R),R,NES1, , ,RN,,77675.0,79185,1510.0
105,2010,N00004643,Max Baucus (D),D,MTS2, , ,DI,729700.0,597997.0,1337734,10037.0
106,2014,N00033783,Brenda Lenard (R),R,TNS2, ,Y,RL,,3450.0,11257,7807.0
107,2014,N00033783,Brenda Lenard (R),R,TNS2, , ,RC,,3450.0,11257,7807.0
108,2000,N00001090,James Earl Mcmillan (D),D,NYS1, ,Y,DL,,,0,
109,2010,N00032545,Richard Leinenkugel (R),R,WIS2, ,Y,RN,,79131.0,83636,4505.0
110,2010,N00024852,John Cornyn (R),R,TXS1, , ,RI,275400.0,1911656.0,2343271,156215.0
111,2014,N00029613,Greg Orman (I),I,KSS1,Y,Y,3L,986805.0,2347928.0,3480308,145575.0
112,2014,N00035276,Gabriel Gomez (R),R,MAS2, ,Y,RL,2122657.0,2754033.0,5598320,721630.0
113,2010,N00031169,Jacob J. Meister (D),D,ILS2, ,Y,DL,,30124.0,43008,12884.0
114,2014,N00002097,Mark Warner (D),D,VAS2,Y,Y,DW,3019286.0,10492507.0,14894451,1382658.0
115,2010,N00030136,Gordon Leitch (R),R,ORS1, , ,RN,1250.0,305.0,1555,0.0
116,2010,N00028630,Jesse Johnson (3),3,WVS1,Y,Y,3L,,4050.0,5902,1852.0
117,2014,N00001489,Pat Toomey (R),R,PAS1, , ,RI,1196347.0,3408758.0,5261938,656833.0
118,2014,N00000528,Bernie Sanders (I),I,VTS1, , ,3I,41821.0,107434.0,1038595,889340.0
119,2010,N00032040,Mike Vontz (R),R,MOS1, ,Y,RL,,1347.0,1347,0.0
120,2010,N00004309,Herb Kohl (D),D,WIS1, , ,DI,,281500.0,281770,270.0
121,2014,N00027464,Bruce Braley (D),D,IAS2,Y,Y,DL,3429813.0,3049739.0,6852449,372897.0
122,2014,N00027464,Bruce Braley (D),D,IAS2, , ,DO,3429813.0,3049739.0,6852449,372897.0
123,2014,N00031883,Kevin Wade (R),R,DES2,Y,Y,RL,1000.0,12479.0,25287,11808.0
124,2014,N00035790,Chris Mapp (R),R,TXS1, ,Y,RL,,68760.0,72821,4061.0
125,2010,N00030970,Fred Ramey (R),R,ARS2, ,Y,RL,,17139.0,26326,9187.0
126,2014,N00036199,Thomas Patrick Clements (R),R,LAS1,Y,Y,RL,,,0,0.0
127,2014,N00035477,Karen Handel (R),R,GAS1, ,Y,RL,153284.0,808336.0,1125392,163772.0
128,2010,N00031282,Robert E. Burr Jr (R),R,MAS1, ,Y,RN,,2400.0,2400,0.0
129,2010,N00032044,Tracy Potter (D),D,NDS1,Y,Y,DL,107814.0,40990.0,181471,32667.0
130,2010,N00026050,Lisa Murkowski (I),I,AKS2,Y,Y,3W,3960849.0,1847955.0,5936500,127696.0
131,2010,N00029250,Rick Noriega (D),D,TXS1, , ,DN,,-3400.0,-2636,764.0
132,2010,N00027446,Ernest John Pagels Jr (R),R,WIS2, ,Y,RN,,,0,0.0
133,2010,N00006424,John McCain (R),R,AZS1,Y,Y,RW,1204636.0,4034929.0,5239565,0.0
134,2014,N00035301,J Mark Inman (R),R,MAS2, ,Y,RN,,2500.0,2500,0.0
135,2010,N00032062,Jim Huffman (R),R,ORS2,Y,Y,RL,52172.0,567024.0,979590,360394.0
136,2000,N00000910,Abraham Hirschfeld (I),I,NYS1, ,Y,3N,,,0,
137,2000,N00000421,Dick Swett (D),D,NHS2, , ,DN,-1000.0,,-1000,0.0
138,2000,N00005165,John Ashcroft (R),R,MOS2,Y,Y,RL,2730242.0,4072831.0,12387898,5584825.0
139,2000,N00013167,Leslie Davis (3),3,MNS2, ,Y,3L,,6884.0,11623,4739.0
140,1992,N00005025,Merton Bernstein (D),D,MOS1, , ,DL,2459.0,61614.0,176898,112825.0
141,2000,N00012602,Rocky Flash (3),3,INS2, , ,3C,,,0,
142,1992,N00007977,N/a Marshall (U),U,WAS2, , ,UL,,,0,0.0
143,2000,N00009945,Jon S Corzine (D),D,NJS1,Y,Y,DW,351578.0,2754350.0,3105928,
144,1992,N00003583,George V Voinovich (R),R,OHS1, , ,RN,1200.0,4410.0,14110,8500.0
145,1992,N00006003,Lloyd Bentsen (D),D,TXS2, , ,DI,2514.0,771575.0,1628363,854274.0
146,1992,N00007998,Tony Smith (D),D,AKS2,Y,Y,DL,385266.0,439795.0,1412898,587837.0
147,1992,N00007621,Maria M Hustace (R),R,HIS1, , ,RN,,400.0,1740,1340.0
148,1992,N00007621,Maria M Hustace (R),R,HIS1, , ,RL,,400.0,1740,1340.0
149,1992,N00008001,William L Hensley (D),D,AKS2, , ,DL,9506.0,157216.0,417805,251083.0
150,1992,N00005240,Gloria Jean O'Dell (D),D,KSS2,Y,Y,DL,90556.0,28240.0,211973,93177.0
151,1992,N00004707,Chad Koppie (3),3,ILS2,Y,Y,3L,,21400.0,42782,21382.0
152,1992,N00006332,Brian H Moss (D),D,UTS1, , ,DN,,,0,0.0
153,1992,N00006131,Malcolm Buie Seawell (D),D,COS2, , ,DN,,22537.0,22632,95.0
154,1992,N00005675,Kay Bailey Hutchison (R),R,TXS2, , ,RN,2000.0,5500.0,13139,5639.0
155,1992,N00006390,Claire Sargent (D),D,AZS1,Y,Y,DL,80319.0,69912.0,302703,152472.0
156,1992,N00009920,Richard C Shelby (D),D,ALS2,Y,Y,DW,1412966.0,1256663.0,4039366,1369737.0
157,1990,N00005466,Dale Bumpers (D),D,ARS2, , ,DI,66900.0,8550.0,86360,10910.0
158,1994,N00000536,James H Douglas (R),R,VTS2, , ,RN,,1400.0,7381,5981.0
159,1994,N00002131,Sylvia Lanabeth Clute (D),D,VAS1, ,Y,DL,5750.0,65533.0,155189,83906.0
160,1994,N00007859,Jesse C Sr Wineberry (D),D,WAS1, ,Y,DL,6360.0,49290.0,174813,119163.0
161,1994,N00000063,Walter Eugene Johnston III (R),R,NCS2, , ,RN,,,0,0.0
162,1994,N00000547,Michael David Griffes (R),R,VTS1, , ,RN,,1500.0,4935,3435.0
163,1994,N00006770,Mel Levine (D),D,CAS1, , ,DN,-975.0,-3250.0,-3475,750.0
164,1994,N00001158,Alfonse M D'Amato (R),R,NYS2, , ,RI,296738.0,1023793.0,1939781,619250.0
165,1994,N00004517,Dean M Barkley (I),I,MNS2,Y,Y,3L,,24800.0,26790,1990.0
166,1994,N00004517,Dean M Barkley (I),I,MNS2, , ,3L,,24800.0,26790,1990.0
167,1990,N00007358,Jerry Brown (D),D,CAS2, , ,DN,4000.0,,4000,0.0
168,1990,N00002091,Larry Craig (R),R,IDS1, , ,RW,1125715.0,396203.0,2269861,747943.0
169,1990,N00002091,Larry Craig (R),R,IDS1,Y,Y,RW,1125715.0,396203.0,2269861,747943.0
170,1994,N00006445,Scott Grainger (L),L,AZS2,Y,Y,3L,1200.0,2000.0,8288,5088.0
171,1994,N00000650,Christopher Bancroft Burnham (R),R,CTS2, , ,RN,150.0,6350.0,20118,13618.0
172,2000,N00000482,William P Clarke (3),U,MES2, , ,3N,,,0,
173,1994,N00006138,Richard D Lamm (D),D,COS1, , ,DN,,,5,5.0
174,1990,N00002287,Jesse Helms (R),R,NCS1,Y,Y,RW,1611143.0,2695375.0,16654097,12347579.0
175,1990,N00003845,Dan Coats (R),R,INS2, , ,RW,1891769.0,1547097.0,5846249,2407383.0
176,1990,N00003845,Dan Coats (R),R,INS2,Y,Y,RW,1891769.0,1547097.0,5846249,2407383.0
177,2000,N00004451,Stephen Bonsal Young (R),R,MNS1, , ,RN,,,0,
178,1994,N00004251,Tom Tauke (R),R,IAS2, , ,RN,,,0,0.0
179,1994,N00004251,Tom Tauke (R),R,IAS2, , ,RN,,,0,0.0
180,1994,N00004207,Tom Harkin (D),D,IAS2, , ,DI,294944.0,619614.0,1662150,747592.0
181,1994,N00000471,William S Cohen (R),R,MES2, , ,RI,46526.0,42474.0,131719,42719.0
182,1990,N00001800,Connie Mack (R),R,FLS1, , ,RI,226007.0,558557.0,1624118,839554.0
183,1994,N00001438,Elmer E Crone Jr (I),I,PAS1, , ,3N,,,0,0.0
184,1990,N00001756,Jim Exon (D),D,NES2,Y,Y,DW,1627402.0,541756.0,3185201,1016043.0
185,1994,N00001614,Joseph C Vignola (D),D,PAS2, , ,DN,,,0,0.0
186,1994,N00006537,Robin Dozier Otten (R),R,NMS1, ,Y,RL,10195.0,33055.0,93688,50438.0
187,1998,N00005273,Thomas L Oyler (R),L,KSS2,Y,Y,3L,,1986.0,2011,25.0
188,1998,N00001867,Ruthann Aron (R),R,MDS1, , ,RN,,,0,0.0
189,1998,N00002057,Charles S Robb (D),D,VAS1, , ,DI,108750.0,76500.0,262396,77146.0
190,1998,N00001674,Vance Chandler Phillips (R),R,DES2, , ,RN,,,0,0.0
191,2000,N00004441,Monti A Moreno (R),R,MNS1, , ,RN,,,0,
192,1998,N00005301,Chuck Hagel (R),R,NES2, , ,RI,602000.0,417239.0,1111856,92617.0
193,2000,N00005122,Joyce Lea (R),R,MOS1, , ,RN,,,0,
194,1998,N00004994,Paul Simon (D),D,ILS1, , ,DN,-50.0,-7100.0,-7150,0.0
195,1998,N00004994,Paul Simon (D),D,ILS1, , ,DN,-50.0,-7100.0,-7150,0.0
196,1998,N00002456,Harold G Worley (R),R,SCS2, , ,RN,,,0,0.0
197,1998,N00009908,Rudolph W Giuliani (R),R,NYS1, , ,RN,3000.0,404900.0,407900,0.0
198,1998,N00006287,William L Mauk (D),D,IDS2,Y,Y,DL,63609.0,97093.0,312926,152224.0
199,1998,N00005240,Gloria Jean O'Dell (D),D,KSS2, , ,DN,,,0,0.0
200,1998,N00004707,Chad Koppie (3),3,ILS2, , ,3N,,,0,0.0
201,1998,N00006185,Hank Brown (R),R,COS2, , ,RN,,,0,0.0
202,1998,N00005530,Dave McCurdy (D),D,OKS2, , ,DN,-500.0,,-500,0.0
203,1998,N00005675,Kay Bailey Hutchison (R),R,TXS2, , ,RI,293058.0,1722065.0,3963848,1948725.0
204,1998,N00003276,Hiram Eastland (D),D,MSS2, , ,DN,,,0,0.0
205,1996,N00007362,Leo T McCarthy (D),D,CAS1, , ,DN,,,0,0.0
206,1996,N00001757,Wyche Fowler Jr (D),D,GAS2, , ,DN,1500.0,,1500,0.0
207,1996,N00002680,Paul Collins Broun (R),R,GAS1, ,Y,RL,,92816.0,224334,131518.0
208,1996,N00005946,Robert (Bob) Krueger (D),D,TXS2, , ,DN,-1000.0,,-1000,0.0
209,1996,N00004282,Leroy Corey (U),R,IAS2, ,Y,RL,8000.0,252780.0,717651,456871.0
210,2000,N00004636,John Melcher (D),D,MTS1, , ,DN,,,0,0.0
211,2000,N00005053,James J Askew (D),D,MOS1, , ,DN,,,0,
212,1996,N00000027,James W Donchess (D),D,NHS2, , ,DN,,,0,0.0
213,1996,N00000027,James W Donchess (D),D,NHS2, , ,DN,,,0,0.0
214,1996,N00004490,Douglas B Tenpas (I),I,MNS1, , ,3L,,63650.0,136637,72987.0
215,1996,N00007874,Scott Langton Hardman (D),D,WAS1, , ,DL,,8756.0,10681,1925.0
216,1996,N00005290,Bill Dunn (3),3,NES2,Y,Y,3L,,2458.0,4618,2160.0
217,1996,N00004636,John Melcher (D),D,MTS1, , ,DN,,,0,0.0
218,1996,N00008974,Albert M Lipscomb (R),R,ALS1, ,Y,RL,5000.0,11560.0,35407,18847.0
219,2000,N00002296,Charles Addison Sanders (D),D,NCS2, , ,DN,,,0,
220,1996,N00003954,Carl J Marlinga (D),D,MIS2, , ,DL,,3750.0,10650,6900.0
221,1996,N00007724,Ron Wyden (D),D,ORS2, , ,DW,2133242.0,2026828.0,6553454,2393384.0
222,1996,N00001526,Donald C Ernsberger (L),L,PAS2, , ,3L,,106.0,236,130.0
223,1996,N00005487,Bill Wayne Bristow (D),D,ARS1, ,Y,DL,,191741.0,405242,213501.0
224,1996,N00005403,Richard P Ieyoub (D),D,LAS1,Y,Y,DL,97288.0,731674.0,1609353,780391.0
225,1996,N00006246,Craig Thomas (R),R,WYS1, , ,RW,23414.0,4800.0,33720,5506.0
226,1996,N00006563,Abraham J Gutmann (3),3,NMS2,Y,Y,3L,71.0,4300.0,18333,13962.0
227,1996,N00003394,Jackson M Andrews (R),R,KYS2, , ,RN,,,0,0.0
228,1996,N00001604,Arlen Specter (R),R,PAS1, , ,RW,364126.0,2523128.0,3846352,959098.0
229,2000,N00004356,Mark W Neumann (R),R,WIS2, , ,RN,-5000.0,2035.0,-2965,
230,2008,N00003218,Harold E Ford Jr (D),D,TNS1, , ,DN,-5000.0,41010.0,44175,8165.0
231,2008,N00027695,Pete Ricketts (R),R,NES1, , ,RN,-2013.0,,-2013,0.0
232,2004,N00027115,Doris R Haddock (D),D,NHS1,Y,Y,DL,0.0,79997.0,257591,177594.0
233,2008,N00030530,Priscilla Lord Faris (D),D,MNS1, ,Y,DL,,75606.0,85138,9532.0
234,2008,N00027074,Bernard E Klein (D),D,FLS2, , ,DN,3000.0,,3000,0.0
235,2008,N00029195,Rand Knight (D),D,GAS1, ,Y,DL,39500.0,167650.0,235326,28176.0
236,2008,N00030143,William Michael Padgett (D),D,TNS2, ,Y,DL,,152125.0,162480,10355.0
237,2004,N00026325,Nancy Farmer (D),D,MOS1,Y,Y,DL,476213.0,2305712.0,5757287,2975362.0
238,2008,N00009957,George Allen (R),R,VAS1, , ,RN,-8655.0,0.0,-8655,0.0
239,2000,N00000880,Richard J Larossa (R),R,NJS2, , ,RN,,,0,
240,2008,N00029043,Michael J Psak (R),R,ILS1, ,Y,RL,,5648.0,12017,6369.0
241,2008,N00027629,John Spencer (R),R,NYS1, , ,RN,,42020.0,262369,220349.0
242,2004,N00012509,Hamilton Allen Smith Bartlett (R),R,FLS1, , ,RN,,15920.0,15920,0.0
243,2008,N00026942,Ken Chase (R),R,MAS1, , ,RN,8000.0,9798.0,57056,39258.0
244,2008,N00026942,Ken Chase (R),R,MAS1, , ,RN,8000.0,9798.0,57056,39258.0
245,2000,N00005611,James H Boren (D),D,OKS2, , ,DN,,,0,
246,2012,N00033568,Richard James Douglas (R),R,MDS1, ,Y,RL,,24621.0,36232,11611.0
247,2012,N00030614,Scott Noren (D),D,NYS1, ,Y,DN,,44088.0,45683,1595.0
248,2012,N00030979,Eric Wargotz (R),R,MDS1, ,Y,RN,,6100.0,8536,2436.0
249,2012,N00034190,William G. Gaylor (3),3,FLS1,Y,Y,3L,,17987.0,17987,0.0
250,2000,N00005585,Don McCorkell (D),D,OKS2, , ,DN,,,0,
251,2000,N00001769,Bob Packwood (R),R,ORS2, , ,RN,,,0,
252,2012,N00004615,Byron L. Dorgan (D),D,NDS1, , ,DN,,-1500.0,-1500,0.0
253,2012,N00032836,Michael Pryce (R),R,OHS1, ,Y,RL,,1500.0,1795,295.0
254,2012,N00033171,Andrew Ian Dodge (L),L,MES1,Y,Y,3O,,238.0,238,0.0
255,2012,N00029441,James E. Risch (R),R,IDS1, , ,RI,142250.0,202755.0,383036,38031.0
256,2012,N00031175,Mark Memoly (R),R,MOS2, ,Y,RL,,2280.0,2280,0.0
257,2000,N00001386,John Heinz (R),R,PAS2, , ,RN,,,0,
258,2012,N00025648,Larry R. Crim (D),D,TNS1, ,Y,DL,,5250.0,28855,23605.0
259,2012,N00031825,Chad Ryan Christensen (R),R,NVS2, , ,RN,,,0,0.0
260,2012,N00028380,Scott N Bradley (3),3,UTS1, , ,3N,,,0,0.0
261,2012,N00004981,Dick Durbin (D),D,ILS1, , ,DI,416987.0,1397534.0,1948527,134006.0
262,2012,N00032556,Jeff Greene (D),D,FLS2, , ,DN,,218.0,218,0.0
263,2000,N00002396,James Melvin Miles (R),R,SCS1, , ,RN,,,0,
264,2000,N00002488,Elliott Springs Close (D),D,SCS2, , ,DN,,,0,
265,2012,N00032734,Scott McAdams (D),D,AKS2, , ,DN,,250.0,250,0.0
266,2012,N00031570,Len Britton (R),R,VTS2, , ,RN,,,0,0.0
267,2012,N00009483,Brendan Thomas Byrne Jr (D),D,NJS1, , ,DN,,,0,0.0
268,2012,N00009960,Deborah Senn (D),D,WAS2, , ,DN,,,0,0.0
269,2000,N00006112,Michael Donovan Murray (R),R,SDS2, , ,RN,,,0,
270,2012,N00031765,Gary Berntsen (R),R,NYS1, , ,RN,,,0,0.0
271,2012,N00031091,Kie Westby (R),R,CTS1, ,Y,RN,,3985.0,3985,0.0
272,2012,N00033567,Dirk Konopik (R),R,CAS2, ,Y,RL,,49230.0,49450,220.0
273,2012,N00026586,Joe Donnelly (D),D,INS1, , ,DW,2593251.0,3307753.0,6962064,1061060.0
274,2012,N00030902,David Bond Westlake  IV (R),R,WIS2, , ,RN,,450.0,450,0.0
275,2012,N00008051,Mark Udall (D),D,COS2, , ,DI,526990.0,1526743.0,2367944,314211.0
276,2016,N00035287,Joe Carr (R),R,TNS2, , ,RN,,,0,0.0
277,2016,N00035287,Joe Carr (R),R,TNS2, , ,RN,,,0,0.0
278,2006,N00027684,Rae Sharlene Vogeler (3),3,WIS1,Y,Y,3L,586.0,17353.0,42472,24533.0
279,2002,N00025437,Ted Glick (3),3,NJS2,Y,Y,3L,,8915.0,45679,36764.0
280,2016,N00028614,William McBride (R),R,FLS1, , ,RN,,,0,0.0
281,2016,N00002091,Larry Craig (R),R,IDS1, , ,RN,,,0,0.0
282,2006,N00027685,Dale F Groutage (D),D,WYS1,Y,Y,DL,6000.0,44860.0,68588,17728.0
283,2002,N00005385,John Breaux (D),D,LAS2, , ,DI,121178.0,76773.0,278171,80220.0
