,weighted_score
WY,0.02
ID,0.04
HI,0.06
MS,0.08
RI,0.1
VT,0.12
WV,0.14
ND,0.16
OK,0.18
KS,0.2
ME,0.22
NE,0.24
UT,0.26
DE,0.28
IN,0.3
NM,0.32
AL,0.34
AK,0.36
OR,0.38
SC,0.4
MD,0.42
SD,0.44
NH,0.46
MT,0.48
MN,0.5
TN,0.52
AZ,0.54
WI,0.56
AR,0.58
IA,0.6
MI,0.62
NJ,0.64
CT,0.66
IL,0.68
NV,0.7
GA,0.72
LA,0.74
KY,0.76
MO,0.78
TX,0.8
WA,0.82
VA,0.84
CA,0.86
OH,0.88
CO,0.9
PA,0.92
NC,0.94
MA,0.96
FL,0.98
NY,1.0
